Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
AVAXUSDT,Long,26.161 USDT,"10,000","261,609.79 USDT","-22,360.85 USDT",-8.55 %,05/14/2025 03:37 UTC,05/16/2025 11:21 UTC,1.43 % 26.54 USDT,-12.38 % 22.92 USDT
AVAXUSDT,Long,23.612 USDT,"10,000","236,124.03 USDT","9,220 USDT",3.90 %,05/13/2025 04:16 UTC,05/13/2025 14:44 UTC,5.50 % 24.91 USDT,
BTCUSDT,Long,"95,643.333 USDT",15,"1,434,650.00 USDT","130,052 USDT",9.07 %,05/04/2025 09:15 UTC,05/11/2025 01:33 UTC,"9.78 % 105,000 USDT","-2.42 % 93,327 USDT"
TAOUSDT,Long,348.685 USDT,"1,000","348,685.00 USDT","114,071 USDT",32.71 %,05/04/2025 08:56 UTC,05/11/2025 01:28 UTC,34.59 % 469.28 USDT,-2.78 % 339.00 USDT
SUIUSDT,Long,3.863 USDT,"100,000","386,300.00 USDT","7,661 USDT",1.98 %,05/09/2025 04:25 UTC,05/09/2025 06:42 UTC,2.62 % 3.96 USDT,-0.33 % 3.85 USDT
SUIUSDT,Long,3.628 USDT,"185,800","674,113.80 USDT","-42,181.88 USDT",-6.26 %,04/29/2025 07:33 UTC,05/04/2025 01:10 UTC,3.75 % 3.76 USDT,-10.09 % 3.26 USDT
ALPACAUSDT,Short,1.201 USDT,523,627.95 USDT,56.14 USDT,8.94 %,04/30/2025 07:11 UTC,04/30/2025 07:42 UTC,6.48 % 1.13 USDT,-4.71 % 1.26 USDT
BIGTIMEUSDT,Long,0.075 USDT,"2,102,807","158,145.94 USDT","12,269 USDT",7.76 %,04/23/2025 16:47 UTC,04/26/2025 08:46 UTC,17.75 % 0.09 USDT,-3.65 % 0.07 USDT
SUIUSDT,Long,3.008 USDT,"244,000","733,845.22 USDT","164,534 USDT",22.42 %,04/23/2025 17:10 UTC,04/25/2025 08:57 UTC,23.53 % 3.72 USDT,-3.78 % 2.89 USDT
TRUMPUSDT,Long,12.019 USDT,"40,000","480,758.68 USDT","32,782 USDT",6.82 %,04/24/2025 03:53 UTC,04/25/2025 08:11 UTC,10.82 % 13.32 USDT,-4.22 % 11.51 USDT
TAOUSDT,Long,333.936 USDT,500,"166,967.97 USDT","11,923 USDT",7.14 %,04/23/2025 16:57 UTC,04/25/2025 08:11 UTC,9.90 % 367.00 USDT,-2.61 % 325.22 USDT
TRUMPUSDT,Long,13.285 USDT,"100,000","1,334,369.22 USDT","50,648 USDT",3.80 %,04/23/2025 16:58 UTC,04/23/2025 22:44 UTC,12.45 % 14.94 USDT,-7.29 % 12.32 USDT
TRUMPUSDT,Long,12.839 USDT,"1,000","12,839.00 USDT","2,001 USDT",15.59 %,04/23/2025 16:20 UTC,04/23/2025 16:31 UTC,15.96 % 14.89 USDT,-4.39 % 12.28 USDT
BTCUSDT,Long,"82,498 USDT",25,"2,062,450.00 USDT","19,769 USDT",0.96 %,04/09/2025 23:55 UTC,04/16/2025 06:12 UTC,"4.78 % 86,443 USDT","-4.95 % 78,416 USDT"
JUPUSDT,Short,0.411 USDT,"650,000","-267,114.40 USDT","12,905 USDT",4.83 %,03/31/2025 22:03 UTC,04/09/2025 23:53 UTC,34.43 % 0.31 USDT,-5.90 % 0.44 USDT
TRUMPUSDT,Long,7.645 USDT,"10,000","76,446.04 USDT",-581.75 USDT,-0.76 %,04/09/2025 13:41 UTC,04/09/2025 13:49 UTC,0.49 % 7.68 USDT,-0.96 % 7.57 USDT
BTCUSDT,Long,"75,728.486 USDT",15,"1,135,927.29 USDT","-15,880.79 USDT",-1.40 %,04/07/2025 06:30 UTC,04/09/2025 01:27 UTC,"7.23 % 81,200 USDT","-1.42 % 74,650 USDT"
BTCUSDT,Long,"80,679.53 USDT",10.2,"822,931.20 USDT","-22,353.34 USDT",-2.72 %,04/06/2025 11:00 UTC,04/06/2025 21:36 UTC,"2.81 % 82,944 USDT","-2.70 % 78,500 USDT"
SOLUSDT,Short,120 USDT,"3,000","360,000.00 USDT","-1,836.58 USDT",-0.51 %,04/02/2025 22:42 UTC,04/03/2025 04:45 UTC,2.93 % 116.58 USDT,-0.51 % 120.62 USDT
BTCUSDT,Long,"84,402.29 USDT",21,"1,772,448.10 USDT","-17,646.19 USDT",-1.00 %,03/28/2025 14:09 UTC,04/02/2025 22:12 UTC,"4.85 % 88,500 USDT","-3.77 % 81,222 USDT"
