Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
ONDOUSDT,Short,1.022 USDT,"24,445.5","-24,995.48 USDT","-1,917.51 USDT",-7.67 %,05/09/2025 07:38 UTC,05/14/2025 13:16 UTC,,
TRUMPUSDT,Short,14.379 USDT,"5,218.64","-75,039.22 USDT","7,233 USDT",9.64 %,05/09/2025 14:04 UTC,05/12/2025 18:19 UTC,11.74 % 12.87 USDT,-4.91 % 15.12 USDT
PYTHUSDT,Short,0.16 USDT,"125,055","-19,994.16 USDT","-4,714.50 USDT",-23.58 %,05/09/2025 07:38 UTC,05/09/2025 13:53 UTC,0.23 % 0.16 USDT,-18.80 % 0.20 USDT
AAVEUSDT,Long,196.484 USDT,508.8,"99,970.90 USDT","-4,553.45 USDT",-4.55 %,03/04/2025 14:38 UTC,03/04/2025 15:07 UTC,,-4.75 % 187.16 USDT
XRPUSDT,Long,2.505 USDT,"19,986.4","50,064.69 USDT","-3,281.61 USDT",-6.55 %,03/04/2025 14:38 UTC,03/04/2025 15:03 UTC,,-6.66 % 2.34 USDT
ADAUSDT,Long,0.897 USDT,"55,592","49,888.57 USDT","-4,843.06 USDT",-9.71 %,03/04/2025 14:38 UTC,03/04/2025 15:03 UTC,0.11 % 0.90 USDT,-10.25 % 0.81 USDT
AAVEUSDT,Long,364.713 USDT,549.6,"200,446.41 USDT","-55,758.08 USDT",-27.82 %,01/22/2025 10:42 UTC,02/04/2025 05:23 UTC,0.20 % 365.44 USDT,-47.36 % 191.99 USDT
FARTCOINUSDT,Long,0.601 USDT,"259,342.2","155,983.29 USDT","29,452 USDT",18.88 %,02/03/2025 01:58 UTC,02/04/2025 05:21 UTC,47.44 % 0.89 USDT,-18.86 % 0.49 USDT
CRVUSDT,Short,0.828 USDT,"90,539.1","-74,968.35 USDT","33,104 USDT",44.16 %,01/22/2025 10:56 UTC,02/03/2025 02:17 UTC,94.83 % 0.42 USDT,-3.94 % 0.86 USDT
SUIUSDT,Short,4.484 USDT,"21,191.1","-95,020.41 USDT","35,263 USDT",37.11 %,01/22/2025 10:44 UTC,02/03/2025 02:17 UTC,78.11 % 2.52 USDT,-3.14 % 4.63 USDT
ETHBTC,Long,0.032 USDT,150.04,4.81 USDT,-0.08 USDT,-1.70 %,01/23/2025 23:35 UTC,01/26/2025 12:45 UTC,1.40 % 0.03 USDT,-2.33 % 0.03 USDT
ETHUSDT,Long,"3,310.021 USDT",211.891,"701,363.59 USDT","3,452 USDT",0.49 %,01/23/2025 22:21 UTC,01/26/2025 12:36 UTC,"3.62 % 3,429 USDT","-0.94 % 3,279 USDT"
SOLUSDT,Short,252.437 USDT,791,"-199,677.78 USDT","-2,590.76 USDT",-1.30 %,01/23/2025 20:51 UTC,01/26/2025 12:36 UTC,3.17 % 244.68 USDT,-6.38 % 269.64 USDT
LDOUSDT,Long,1.948 USDT,"51,693","100,677.20 USDT","-5,087.38 USDT",-5.05 %,01/22/2025 10:42 UTC,01/25/2025 04:26 UTC,4.36 % 2.03 USDT,-12.20 % 1.71 USDT
RUNEUSDT,Short,3.368 USDT,"22,253","-74,957.94 USDT","25,563 USDT",34.10 %,01/22/2025 10:56 UTC,01/25/2025 04:19 UTC,70.55 % 1.98 USDT,-0.75 % 3.39 USDT
BTCUSDT,Short,"103,914.793 USDT",4.812,"500,037.98 USDT","-1,429.13 USDT",-0.29 %,01/23/2025 23:04 UTC,01/23/2025 23:40 UTC,,"-0.47 % 104,409 USDT"
LINKUSDT,Short,25.931 USDT,"1,879.42","-48,734.85 USDT",504.28 USDT,1.03 %,01/22/2025 11:01 UTC,01/23/2025 22:48 UTC,7.95 % 24.02 USDT,-0.45 % 26.05 USDT
ADAUSDT,Short,1.002 USDT,"49,796","-49,902.71 USDT",769.16 USDT,1.54 %,01/22/2025 11:01 UTC,01/23/2025 22:48 UTC,5.15 % 0.95 USDT,-1.41 % 1.02 USDT
XRPUSDT,Long,3.17 USDT,"31,542.3","99,996.15 USDT","-1,993.71 USDT",-1.99 %,01/22/2025 11:00 UTC,01/23/2025 22:48 UTC,3.67 % 3.29 USDT,-4.23 % 3.04 USDT
