Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BTCUSDT,Short,"85,342.284 USDT",13,"-1,109,449.69 USDT",765.99 USDT,0.07 %,04/14/2025 06:15 UTC,04/14/2025 17:51 UTC,,
OMUSDT,Short,0.986 USDT,"18,000","17,744.94 USDT","2,631 USDT",14.83 %,04/13/2025 23:40 UTC,04/14/2025 15:24 UTC,,
SOLUSDT,Short,133.7 USDT,"1,111","148,540.70 USDT","1,611 USDT",1.08 %,04/14/2025 10:53 UTC,04/14/2025 14:29 UTC,,
ETHUSDT,Short,"1,640.942 USDT",333,"546,433.53 USDT","8,378 USDT",1.53 %,04/13/2025 17:51 UTC,04/14/2025 00:21 UTC,,
BTCUSDT,Short,"84,089.557 USDT",20,"-1,681,791.15 USDT","14,571 USDT",0.87 %,04/13/2025 13:03 UTC,04/14/2025 00:07 UTC,,
ETHUSDT,Short,"1,632.768 USDT",222,"362,474.43 USDT","-3,014.04 USDT",-0.83 %,04/13/2025 17:47 UTC,04/13/2025 17:50 UTC,,
ETHUSDT,Short,"1,596.394 USDT",222,"354,399.42 USDT","-1,739.63 USDT",-0.49 %,04/13/2025 11:49 UTC,04/13/2025 11:59 UTC,,
BTCUSDT,Short,"84,807.775 USDT",20,"-1,696,155.50 USDT",424.11 USDT,0.03 %,04/12/2025 21:12 UTC,04/13/2025 09:37 UTC,,
SOLUSDT,Short,131.918 USDT,999,"131,785.61 USDT","1,457 USDT",1.11 %,04/12/2025 21:28 UTC,04/13/2025 09:28 UTC,,
BTCUSDT,Short,"84,689.746 USDT",9,"761,857.75 USDT","-7,035.91 USDT",-0.92 %,04/12/2025 16:49 UTC,04/12/2025 20:38 UTC,"0.28 % 84,456 USDT","-0.86 % 85,428 USDT"
ETHUSDT,Short,"1,654.39 USDT",99,"-163,784.61 USDT",400.78 USDT,0.24 %,04/12/2025 14:40 UTC,04/12/2025 18:46 UTC,"1.41 % 1,631 USDT","-0.49 % 1,662 USDT"
BTCUSDT,Short,"84,496.993 USDT",5.039,"-425,780.35 USDT","-2,225.95 USDT",-0.52 %,04/12/2025 14:06 UTC,04/12/2025 14:25 UTC,"0.17 % 84,352 USDT","-0.36 % 84,805 USDT"
ETHUSDT,Short,"1,634.793 USDT",198,"-323,689.06 USDT","-5,010.80 USDT",-1.55 %,04/12/2025 13:52 UTC,04/12/2025 14:24 UTC,,"-1.40 % 1,657 USDT"
SOLUSDT,Short,126.46 USDT,999,"126,333.54 USDT","-3,543.39 USDT",-2.80 %,04/12/2025 13:25 UTC,04/12/2025 14:23 UTC,,-2.51 % 129.72 USDT
BTCUSDT,Short,"83,226.438 USDT",13,"-1,081,943.70 USDT","-15,588.03 USDT",-1.44 %,04/11/2025 16:46 UTC,04/12/2025 13:43 UTC,"0.48 % 82,827 USDT","-1.05 % 84,107 USDT"
ETHUSDT,Short,"1,592.049 USDT",222,"353,434.96 USDT","-6,190.51 USDT",-1.75 %,04/12/2025 09:13 UTC,04/12/2025 13:07 UTC,"0.19 % 1,589 USDT","-1.36 % 1,614 USDT"
SOLUSDT,Short,123.671 USDT,"3,883.92","-480,328.01 USDT","-4,024.24 USDT",-0.84 %,04/12/2025 06:34 UTC,04/12/2025 08:04 UTC,0.66 % 122.86 USDT,-0.77 % 124.63 USDT
SOLUSDT,Short,121.13 USDT,"6,666","-807,452.58 USDT","-10,087.77 USDT",-1.25 %,04/11/2025 20:01 UTC,04/12/2025 04:31 UTC,1.15 % 119.75 USDT,-1.00 % 122.35 USDT
BERAUSDT,Short,4.035 USDT,"22,222","89,676.21 USDT","-4,222.58 USDT",-4.71 %,04/11/2025 07:13 UTC,04/11/2025 18:11 UTC,0.94 % 4.00 USDT,-3.80 % 4.20 USDT
BTCUSDT,Short,"82,950.503 USDT",8,"663,604.02 USDT","5,901 USDT",0.89 %,04/11/2025 13:54 UTC,04/11/2025 14:47 UTC,"1.83 % 81,459 USDT",
BTCUSDT,Short,"82,400.423 USDT",13,"-1,071,205.49 USDT",345.26 USDT,0.03 %,04/11/2025 10:12 UTC,04/11/2025 12:30 UTC,"0.61 % 81,899 USDT","-0.59 % 82,892 USDT"
ETHUSDT,Short,"1,556.95 USDT",199,"309,833.15 USDT","-5,033.07 USDT",-1.62 %,04/11/2025 08:09 UTC,04/11/2025 10:35 UTC,"0.66 % 1,546 USDT","-1.26 % 1,576 USDT"
ETHUSDT,Short,"1,547.254 USDT",133,"-205,784.75 USDT","-1,741.06 USDT",-0.85 %,04/11/2025 07:08 UTC,04/11/2025 08:05 UTC,"0.15 % 1,544 USDT","-0.53 % 1,555 USDT"
BERAUSDT,Short,3.984 USDT,"12,345","49,185.81 USDT",159.01 USDT,0.32 %,04/10/2025 21:03 UTC,04/11/2025 03:18 UTC,4.06 % 3.83 USDT,-0.77 % 4.02 USDT
BTCUSDT,Short,"79,793.716 USDT",5,"398,968.58 USDT","-1,934.50 USDT",-0.48 %,04/10/2025 19:57 UTC,04/11/2025 01:51 UTC,"0.92 % 79,062 USDT","-0.22 % 79,970 USDT"
SOLUSDT,Short,111.78 USDT,"2,222","248,375.16 USDT","-3,238.64 USDT",-1.30 %,04/10/2025 20:12 UTC,04/10/2025 22:23 UTC,0.15 % 111.61 USDT,-1.17 % 113.10 USDT
GASUSDT,Short,3.086 USDT,"12,345","38,102.34 USDT",-572.93 USDT,-1.50 %,04/10/2025 21:09 UTC,04/10/2025 22:07 UTC,0.08 % 3.08 USDT,-1.74 % 3.14 USDT
