Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BTCUSDC,Long,"102,974.754 USDT",14.566,"1,499,930.26 USDT","16,439 USDT",1.10 %,05/19/2025 13:37 UTC,05/19/2025 15:08 UTC,,
BTCUSDC,Long,"103,569.809 USDT",12.068,"1,249,880.45 USDT","7,549 USDT",0.60 %,05/18/2025 20:01 UTC,05/18/2025 20:48 UTC,,
KAITOUSDT,Long,1.735 USDT,"115,106.9","199,653.37 USDT","10,535 USDT",5.28 %,05/17/2025 12:46 UTC,05/18/2025 12:47 UTC,,
KAITOUSDT,Long,1.81 USDT,"138,121.5","249,963.12 USDT","2,303 USDT",0.92 %,05/17/2025 08:21 UTC,05/17/2025 08:33 UTC,1.05 % 1.83 USDT,-0.26 % 1.81 USDT
KAITOUSDT,Long,1.924 USDT,"103,896.7","199,927.01 USDT","1,647 USDT",0.82 %,05/15/2025 16:50 UTC,05/15/2025 17:51 UTC,0.97 % 1.94 USDT,-1.23 % 1.90 USDT
BTCUSDC,Long,"101,700 USDT",9.832,"999,914.40 USDT","13,356 USDT",1.34 %,05/15/2025 14:39 UTC,05/15/2025 16:35 UTC,"1.64 % 103,372 USDT","-0.34 % 101,356 USDT"
KAITOUSDT,Long,1.885 USDT,"291,865.1","550,061.12 USDT","11,253 USDT",2.05 %,05/15/2025 15:31 UTC,05/15/2025 16:34 UTC,3.13 % 1.94 USDT,-1.57 % 1.86 USDT
KAITOUSDT,Long,1.842 USDT,"135,707.7","249,999.84 USDT","2,653 USDT",1.06 %,05/15/2025 08:38 UTC,05/15/2025 09:21 UTC,1.21 % 1.86 USDT,-0.88 % 1.83 USDT
BTCUSDC,Long,"101,400 USDT",9.861,"999,905.40 USDT","12,957 USDT",1.30 %,05/12/2025 18:42 UTC,05/12/2025 20:53 UTC,"1.38 % 102,796 USDT","-0.71 % 100,685 USDT"
KAITOUSDT,Short,1.91 USDT,"52,356","100,010.38 USDT","1,175 USDT",1.18 %,05/10/2025 20:00 UTC,05/10/2025 20:03 UTC,0.33 % 1.90 USDT,
KAITOUSDT,Short,1.91 USDT,"523,560.2","-999,999.98 USDT","13,408 USDT",1.34 %,05/10/2025 18:03 UTC,05/10/2025 19:35 UTC,2.42 % 1.86 USDT,-1.60 % 1.94 USDT
BTCUSDC,Long,"95,629.304 USDT",15.683,"1,499,754.38 USDT","51,790 USDT",3.45 %,05/02/2025 19:34 UTC,05/08/2025 06:59 UTC,"3.94 % 99,400 USDT","-2.41 % 93,324 USDT"
BTCUSDC,Long,"97,057.949 USDT",15.478,"1,499,630.25 USDT",943.95 USDT,0.06 %,05/02/2025 12:36 UTC,05/02/2025 17:10 UTC,"0.73 % 97,765 USDT","-0.32 % 96,751 USDT"
BTCUSDC,Long,"93,636.64 USDT",32.027,"2,998,900.67 USDT","29,359 USDT",0.98 %,04/30/2025 12:34 UTC,04/30/2025 20:51 UTC,"1.13 % 94,698 USDT","-0.81 % 92,874 USDT"
BTCUSDC,Long,"93,323.878 USDT",10.715,"999,965.35 USDT","8,265 USDT",0.83 %,04/27/2025 23:15 UTC,04/28/2025 05:22 UTC,"0.94 % 94,199 USDT","-0.60 % 92,763 USDT"
BTCUSDC,Long,"93,830 USDT",5.328,"499,926.24 USDT","1,735 USDT",0.35 %,04/27/2025 16:33 UTC,04/27/2025 18:32 UTC,"0.41 % 94,214 USDT","-0.12 % 93,717 USDT"
BTCUSDC,Long,"94,499.896 USDT",10.581,"999,903.40 USDT","4,667 USDT",0.47 %,04/25/2025 17:49 UTC,04/25/2025 18:36 UTC,"0.53 % 95,000 USDT","-0.14 % 94,365 USDT"
BTCUSDC,Long,"83,897.181 USDT",26.817,"2,249,870.70 USDT","56,094 USDT",2.49 %,04/16/2025 17:46 UTC,04/21/2025 00:27 UTC,"2.70 % 86,158 USDT","-0.82 % 83,208 USDT"
BTCUSDC,Long,"78,081.446 USDT",9.611,"750,440.78 USDT","6,392 USDT",0.85 %,04/07/2025 12:59 UTC,04/07/2025 17:42 UTC,"3.90 % 81,127 USDT","-3.06 % 75,693 USDT"
FARTCOINUSDT,Long,0.405 USDT,"987,612.9","399,999.91 USDT","74,811 USDT",18.70 %,04/02/2025 22:27 UTC,04/04/2025 08:42 UTC,18.86 % 0.48 USDT,-12.35 % 0.36 USDT
BTCUSDT,Long,"84,132.915 USDT",17.828,"1,499,921.60 USDT","25,557 USDT",1.70 %,03/19/2025 18:05 UTC,03/19/2025 20:10 UTC,"2.11 % 85,908 USDT","-0.75 % 83,500 USDT"
BNBUSDT,Long,584.238 USDT,"1,049.62","613,227.80 USDT","4,340 USDT",0.71 %,03/13/2025 13:44 UTC,03/14/2025 20:10 UTC,2.01 % 595.99 USDT,-2.26 % 571.04 USDT
FARTCOINUSDT,Long,0.2 USDT,"500,000","99,979.86 USDT","14,180 USDT",14.18 %,03/10/2025 17:37 UTC,03/10/2025 20:25 UTC,15.42 % 0.23 USDT,-0.63 % 0.20 USDT
FARTCOINUSDT,Long,0.229 USDT,"1,529,002.3","349,870.07 USDT","60,653 USDT",17.34 %,03/04/2025 11:22 UTC,03/05/2025 07:43 UTC,19.18 % 0.27 USDT,-9.01 % 0.21 USDT
1000PEPEUSDT,Long,0.009 USDT,"22,163,927","199,892.72 USDT","-45,516.46 USDT",-22.77 %,02/02/2025 07:05 UTC,03/05/2025 07:33 UTC,36.62 % 0.01 USDT,-30.52 % 0.01 USDT
FARTCOINUSDT,Long,0.281 USDT,"533,127.8","149,960.54 USDT","6,473 USDT",4.32 %,02/25/2025 15:11 UTC,02/25/2025 16:37 UTC,6.19 % 0.30 USDT,-2.34 % 0.27 USDT
KAITOUSDT,Long,0.937 USDT,"319,971.7","299,898.12 USDT","99,546 USDT",33.19 %,02/20/2025 14:27 UTC,02/20/2025 18:00 UTC,34.84 % 1.26 USDT,-6.88 % 0.87 USDT
FARTCOINUSDT,Long,0.289 USDT,"344,827.5","99,682.59 USDT","5,738 USDT",5.76 %,02/18/2025 17:02 UTC,02/18/2025 21:01 UTC,6.82 % 0.31 USDT,-3.90 % 0.28 USDT
SOLUSDT,Long,212.631 USDT,"1,175","249,841.60 USDT",494.80 USDT,0.20 %,02/02/2025 07:03 UTC,02/03/2025 19:44 UTC,1.42 % 215.65 USDT,-18.48 % 173.33 USDT
