Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BTCUSD,Short,"82,675.836 USDT",30,"2,480,275.07 USDT","-1,109.74 USDT",-0.04 %,04/06/2025 12:35 UTC,04/06/2025 13:06 UTC,,
BTCUSD,Long,"82,741.02 USDT",49,"4,054,309.97 USDT","38,463 USDT",0.95 %,04/05/2025 13:26 UTC,04/05/2025 23:55 UTC,,
BTCUSD,Long,"84,173.429 USDT",48,"4,040,324.57 USDT","2,630 USDT",0.07 %,04/04/2025 17:57 UTC,04/04/2025 19:29 UTC,,
BTCUSD,Long,"82,672.595 USDT",54,"4,464,357.32 USDT","37,773 USDT",0.85 %,04/04/2025 12:42 UTC,04/04/2025 16:59 UTC,,
BTCUSD,Long,"82,483.63 USDT",36,"2,969,410.68 USDT",-238.68 USDT,-0.01 %,04/04/2025 12:27 UTC,04/04/2025 12:40 UTC,,
BTCUSD,Long,"82,196.354 USDT",42,"3,452,246.87 USDT","2,253 USDT",0.07 %,04/04/2025 11:35 UTC,04/04/2025 12:20 UTC,,
BTCUSD,Long,"83,047.725 USDT",26,"2,159,240.84 USDT","-8,979.89 USDT",-0.42 %,04/04/2025 10:37 UTC,04/04/2025 10:50 UTC,,
BTCUSD,Long,"83,126.377 USDT",8,"665,011.01 USDT","-2,088.55 USDT",-0.31 %,04/04/2025 10:31 UTC,04/04/2025 10:34 UTC,,
BTCUSD,Long,"83,712.336 USDT",24,"2,009,096.05 USDT","-14,858.70 USDT",-0.74 %,04/04/2025 10:15 UTC,04/04/2025 10:22 UTC,,
BTCUSD,Long,"82,201.133 USDT",42,"3,452,447.58 USDT","32,433 USDT",0.94 %,04/03/2025 18:49 UTC,04/04/2025 00:57 UTC,,
BTCUSD,Long,"81,974.941 USDT",26,"2,131,348.46 USDT",0.00 USDT,0.00 %,04/03/2025 15:57 UTC,04/03/2025 16:11 UTC,,
BTCUSD,Long,"81,719.099 USDT",30,"2,451,572.97 USDT",0.00 USDT,0.00 %,04/03/2025 15:15 UTC,04/03/2025 15:19 UTC,,
BTCUSD,Long,"85,029.785 USDT",36,"3,061,072.25 USDT",0.00 USDT,0.00 %,04/02/2025 14:00 UTC,04/02/2025 22:18 UTC,,
TRXUSD,Long,0.239 USDT,"3,134,807","749,350.09 USDT",0.00 USDT,0.00 %,04/02/2025 02:03 UTC,04/02/2025 16:20 UTC,,
BTCUSD,Long,"84,982.225 USDT",30,"2,549,466.75 USDT",0.00 USDT,0.00 %,04/01/2025 19:32 UTC,04/02/2025 02:02 UTC,,
BTCUSD,Long,"85,066.238 USDT",24,"2,041,589.71 USDT",0.00 USDT,0.00 %,04/01/2025 16:50 UTC,04/01/2025 17:10 UTC,,
BTCUSD,Long,"84,199 USDT",0.343,"28,846.58 USDT",0.00 USDT,0.00 %,04/01/2025 14:59 UTC,04/01/2025 14:59 UTC,,
BTCUSD,Short,"84,047.392 USDT",14,"1,176,663.49 USDT",0.00 USDT,0.00 %,04/01/2025 14:58 UTC,04/01/2025 14:59 UTC,,
BTCUSD,Long,"82,805.615 USDT",24,"1,987,334.76 USDT",0.00 USDT,0.00 %,04/01/2025 14:11 UTC,04/01/2025 14:48 UTC,,
BTCUSD,Long,"83,618.164 USDT",18,"1,505,126.96 USDT",0.00 USDT,0.00 %,04/01/2025 13:34 UTC,04/01/2025 13:52 UTC,,
BTCUSD,Short,"83,601.955 USDT",30,"2,508,058.64 USDT",0.00 USDT,0.00 %,04/01/2025 12:48 UTC,04/01/2025 12:50 UTC,,
BTCUSD,Long,"82,290.674 USDT",30,"2,468,720.23 USDT",0.00 USDT,0.00 %,03/31/2025 13:36 UTC,04/01/2025 08:53 UTC,,
BTCUSD,Long,"81,461.519 USDT",30,"2,443,845.57 USDT",0.00 USDT,0.00 %,03/31/2025 00:47 UTC,03/31/2025 02:33 UTC,,
BTCUSDT,Long,"82,623 USDT",25,"2,065,575.00 USDT","2,457 USDT",0.12 %,03/29/2025 19:58 UTC,03/30/2025 14:00 UTC,"1.07 % 83,509 USDT","-0.49 % 82,218 USDT"
BTCUSDT,Long,"84,247 USDT",29,"2,443,163.00 USDT","-13,732.08 USDT",-0.56 %,03/28/2025 15:10 UTC,03/28/2025 18:29 UTC,"0.29 % 84,494 USDT","-0.84 % 83,537 USDT"
BTCUSDT,Long,"86,733 USDT",49.5,"4,293,283.50 USDT","-84,166.79 USDT",-1.96 %,03/26/2025 13:58 UTC,03/28/2025 10:57 UTC,"1.14 % 87,722 USDT","-2.06 % 84,950 USDT"
