Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
FARTCOINUSDT,Short,0.522 USDT,"409,019.7","-213,643.62 USDT","20,240 USDT",9.47 %,04/01/2025 10:59 UTC,04/04/2025 17:05 UTC,46.11 % 0.36 USDT,-3.13 % 0.54 USDT
CAKEUSDT,Long,2.61 USDT,"100,625","262,583.59 USDT","-46,412.33 USDT",-17.68 %,03/18/2025 07:28 UTC,04/02/2025 01:46 UTC,7.87 % 2.82 USDT,-28.70 % 1.86 USDT
1000CHEEMSUSDT,Short,0.002 USDT,"10,000,000","-18,905.93 USDT","2,475 USDT",13.09 %,03/26/2025 13:10 UTC,03/31/2025 21:06 UTC,24.30 % 0.00 USDT,-2.30 % 0.00 USDT
SOLUSDT,Long,127.72 USDT,"5,000","638,599.06 USDT","32,868 USDT",5.15 %,03/19/2025 11:19 UTC,03/24/2025 14:32 UTC,6.55 % 136.08 USDT,-2.33 % 124.74 USDT
AUCTIONUSDT,Short,46.209 USDT,"1,000","46,208.90 USDT","4,530 USDT",9.80 %,03/21/2025 03:00 UTC,03/22/2025 23:53 UTC,48.48 % 31.12 USDT,-27.50 % 63.74 USDT
MUBARAKUSDT,Long,0.112 USDT,"491,071","54,836.15 USDT","9,812 USDT",17.89 %,03/19/2025 17:22 UTC,03/20/2025 00:22 UTC,21.97 % 0.14 USDT,-2.84 % 0.11 USDT
KOMAUSDT,Long,0.045 USDT,"1,068,641","47,925.61 USDT",-645.44 USDT,-1.35 %,03/19/2025 17:15 UTC,03/19/2025 17:26 UTC,1.95 % 0.05 USDT,-2.29 % 0.04 USDT
MOVEUSDT,Short,1.077 USDT,5,5.39 USDT,3.12 USDT,57.86 %,12/10/2024 15:50 UTC,03/19/2025 15:54 UTC,155.59 % 0.42 USDT,
FORMUSDT,Short,1.818 USDT,"66,171.2","-120,269.87 USDT","2,810 USDT",2.34 %,03/19/2025 08:19 UTC,03/19/2025 09:44 UTC,3.22 % 1.76 USDT,-0.89 % 1.83 USDT
BMTUSDT,Long,0.275 USDT,"1,300,000","357,925.02 USDT","12,926 USDT",3.61 %,03/18/2025 10:01 UTC,03/19/2025 03:14 UTC,17.10 % 0.32 USDT,-8.15 % 0.25 USDT
MUBARAKUSDT,Long,0.155 USDT,"500,000","77,427.62 USDT","-4,919.69 USDT",-6.35 %,03/17/2025 15:03 UTC,03/17/2025 15:12 UTC,1.00 % 0.16 USDT,-7.59 % 0.14 USDT
CAKEUSDT,Short,2.59 USDT,"60,000","155,411.78 USDT","1,932 USDT",1.24 %,03/17/2025 11:06 UTC,03/17/2025 14:32 UTC,7.58 % 2.41 USDT,-1.22 % 2.62 USDT
BNXUSDT,Short,0.863 USDT,"17,915.7","15,469.30 USDT","-15,712.55 USDT",-101.57 %,03/01/2025 01:59 UTC,03/17/2025 05:00 UTC,,-50.57 % 1.75 USDT
