Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BTCUSD,Long,"103,472.991 USDT",96.66,"10,001,726.20 USDT","-35,749.04 USDT",-0.36 %,05/18/2025 21:07 UTC,05/19/2025 10:48 UTC,,
BTCUSD,Long,"105,128.6 USDT",76.114,"8,001,787.73 USDT","-75,210.10 USDT",-0.94 %,05/18/2025 14:35 UTC,05/18/2025 19:54 UTC,,
PNUTUSD,Short,0.392 USDT,"1,914,698.6","750,717.17 USDT","47,182 USDT",6.28 %,05/14/2025 20:58 UTC,05/15/2025 11:35 UTC,,
PENGUUSD,Short,0.015 USDT,"33,205,087","501,110.80 USDT","47,220 USDT",9.42 %,05/14/2025 21:56 UTC,05/15/2025 11:35 UTC,,
CHILLGUYUSD,Short,0.111 USDT,"4,573,270","509,058.01 USDT","25,448 USDT",5.00 %,05/14/2025 20:52 UTC,05/15/2025 11:29 UTC,,
MOODENGUSD,Short,0.24 USDT,"3,130,537","749,867.00 USDT","20,319 USDT",2.71 %,05/14/2025 20:48 UTC,05/15/2025 11:25 UTC,,
ETHUSD,Long,"2,344.769 USDT","2,986.384","7,002,380.88 USDT","-13,049.72 USDT",-0.19 %,05/09/2025 18:06 UTC,05/09/2025 18:13 UTC,,
TRUMPUSD,Short,12.146 USDT,"526,864","6,399,039.35 USDT","-471,456.65 USDT",-7.37 %,05/02/2025 15:45 UTC,05/09/2025 08:44 UTC,,
BTCUSD,Short,"104,300.126 USDT",124.596,"12,995,393.08 USDT","85,088 USDT",0.65 %,05/09/2025 07:48 UTC,05/09/2025 08:16 UTC,,
XRPUSD,Short,2.263 USDT,"220,802","499,702.29 USDT","2,862 USDT",0.57 %,05/08/2025 15:51 UTC,05/08/2025 16:01 UTC,,
SUIUSD,Short,3.287 USDT,"304,040.7","999,362.73 USDT","-9,664.29 USDT",-0.97 %,05/07/2025 16:08 UTC,05/07/2025 21:28 UTC,,
BTCUSD,Long,"95,762.33 USDT",20.888,"2,000,319.94 USDT","15,819 USDT",0.79 %,05/06/2025 22:35 UTC,05/07/2025 06:35 UTC,,
FARTCOINUSD,Long,1.063 USDT,"942,095.3","1,001,236.94 USDT","-74,837.69 USDT",-7.47 %,05/06/2025 22:36 UTC,05/07/2025 06:29 UTC,,
ENAUSD,Short,0.261 USDT,"3,869,075","1,010,687.77 USDT","-17,961.28 USDT",-1.78 %,05/06/2025 15:09 UTC,05/06/2025 22:12 UTC,,
HYPEUSD,Short,20.357 USDT,"147,402","3,000,668.11 USDT","8,776 USDT",0.29 %,05/04/2025 19:30 UTC,05/06/2025 14:58 UTC,,
ZEREBROUSD,Short,0.042 USDT,"9,666,079","404,470.98 USDT","-12,202.53 USDT",-3.02 %,05/04/2025 13:05 UTC,05/04/2025 20:37 UTC,,
VIRTUALUSD,Short,1.629 USDT,"612,658.2","997,739.23 USDT","-22,876.11 USDT",-2.29 %,05/04/2025 19:24 UTC,05/04/2025 20:36 UTC,,
TRUMPUSD,Short,13.977 USDT,"289,533.4","4,046,732.08 USDT","251,159 USDT",6.21 %,04/29/2025 08:23 UTC,04/30/2025 23:05 UTC,,
BTCUSD,Long,"95,096.114 USDT",42.266,"4,023,173.33 USDT","-90,151.84 USDT",-2.24 %,04/29/2025 17:56 UTC,04/30/2025 13:56 UTC,,
BTCUSD,Long,"93,891.061 USDT",69.234,"6,500,432.10 USDT","32,675 USDT",0.50 %,04/27/2025 15:17 UTC,04/27/2025 20:05 UTC,,
XRPUSD,Short,2.29 USDT,"43,634","99,924.25 USDT",80.12 USDT,0.08 %,04/27/2025 20:04 UTC,04/27/2025 20:05 UTC,,
XRPUSD,Short,2.223 USDT,"2,923,496","6,498,013.55 USDT","-164,349.25 USDT",-2.53 %,04/27/2025 15:12 UTC,04/27/2025 20:04 UTC,,
TRUMPUSD,Short,14.507 USDT,"417,252.1","6,053,227.61 USDT","-94,359.40 USDT",-1.56 %,04/23/2025 17:17 UTC,04/27/2025 06:46 UTC,,
SUIUSD,Short,3.705 USDT,"1,563,914.9","5,794,640.70 USDT","66,002 USDT",1.14 %,04/25/2025 09:06 UTC,04/25/2025 14:34 UTC,,
SUIUSD,Short,3.316 USDT,"557,383.1","1,848,281.41 USDT","4,927 USDT",0.27 %,04/24/2025 18:55 UTC,04/24/2025 23:03 UTC,,
