Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BTCUSDT,Long,"85,045.8 USDT",0.004,340.18 USDT,-0.04 USDT,-0.01 %,03/28/2025 08:40 UTC,03/28/2025 08:42 UTC,"0.13 % 85,157 USDT","-0.01 % 85,036 USDT"
XRPUSDT,Long,2.269 USDT,"340,031","771,442.13 USDT","79,716 USDT",10.33 %,03/02/2025 15:24 UTC,03/02/2025 17:02 UTC,32.52 % 3.01 USDT,
SOLUSDT,Long,142.577 USDT,"3,310","471,929.51 USDT","63,401 USDT",13.43 %,03/02/2025 15:24 UTC,03/02/2025 17:02 UTC,26.25 % 180.00 USDT,
ADAUSDT,Long,0.656 USDT,"2,404,416","1,577,622.77 USDT","415,933 USDT",26.36 %,03/02/2025 15:24 UTC,03/02/2025 15:47 UTC,36.94 % 0.90 USDT,
BTCUSDT,Long,"94,986.4 USDT",0.01,949.86 USDT,17.43 USDT,1.83 %,12/10/2024 17:20 UTC,12/10/2024 22:14 UTC,"2.37 % 97,238 USDT","-0.76 % 94,265 USDT"
BTCUSDT,Long,"95,770 USDT",0.01,957.70 USDT,-1.50 USDT,-0.16 %,12/04/2024 14:07 UTC,12/04/2024 14:19 UTC,"0.01 % 95,784 USDT","-0.26 % 95,521 USDT"
ETHUSDT,Long,"3,707.6 USDT",0.259,960.27 USDT,-0.03 USDT,0.00 %,12/04/2024 14:07 UTC,12/04/2024 14:19 UTC,"0.15 % 3,713 USDT","-0.33 % 3,695 USDT"
BTCUSDT,Long,"70,254.8 USDT",0.002,140.51 USDT,-0.13 USDT,-0.09 %,05/22/2024 10:49 UTC,05/22/2024 10:50 UTC,,"-0.08 % 70,199 USDT"
ETHUSDT,Short,"3,039.138 USDT",341.961,"1,039,266.56 USDT","-6,087.21 USDT",-0.59 %,05/07/2024 20:50 UTC,05/07/2024 21:19 UTC,,"-0.52 % 3,055 USDT"
ONDOUSDT,Long,0.51 USDT,"184,935.5","94,372.70 USDT","42,779 USDT",45.33 %,03/15/2024 08:10 UTC,03/21/2024 08:17 UTC,53.83 % 0.78 USDT,-24.57 % 0.38 USDT
ONDOUSDT,Long,0.481 USDT,"251,133.1","120,878.68 USDT","7,503 USDT",6.21 %,02/29/2024 18:13 UTC,03/15/2024 08:09 UTC,37.26 % 0.66 USDT,-14.80 % 0.41 USDT
1000PEPEUSDT,Long,0.008 USDT,"1,417,959","10,696.72 USDT","2,004 USDT",18.74 %,03/06/2024 13:19 UTC,03/09/2024 09:04 UTC,31.96 % 0.01 USDT,-15.03 % 0.01 USDT
BTCUSDT,Long,"62,491.15 USDT",0.006,374.95 USDT,-0.27 USDT,-0.07 %,03/01/2024 13:55 UTC,03/01/2024 13:57 UTC,"0.13 % 62,572 USDT","-0.02 % 62,476 USDT"
BTCUSDT,Short,"62,609.3 USDT",0.003,187.83 USDT,-0.09 USDT,-0.05 %,02/29/2024 10:44 UTC,02/29/2024 10:45 UTC,,
BTCUSDT,Short,"51,334.8 USDT",0.004,205.34 USDT,-0.07 USDT,-0.03 %,02/26/2024 09:03 UTC,02/26/2024 09:03 UTC,,
BTCUSDT,Long,"51,297.5 USDT",0.003,153.89 USDT,-0.09 USDT,-0.06 %,02/26/2024 08:58 UTC,02/26/2024 08:58 UTC,,
BTCUSDT,Long,"51,351.3 USDT",0.003,154.05 USDT,-0.08 USDT,-0.05 %,02/26/2024 08:40 UTC,02/26/2024 08:41 UTC,"0.02 % 51,362 USDT",
BTCUSDT,Long,"51,692.72 USDT",0.015,775.39 USDT,-5.29 USDT,-0.68 %,02/26/2024 00:10 UTC,02/26/2024 08:40 UTC,"0.30 % 51,846 USDT","-0.78 % 51,292 USDT"
BTCUSDT,Long,"51,789.2 USDT",0.003,155.37 USDT,-0.09 USDT,-0.06 %,02/25/2024 22:16 UTC,02/25/2024 22:16 UTC,,
BTCUSDT,Short,"51,747.8 USDT",0.004,206.99 USDT,-0.22 USDT,-0.11 %,02/25/2024 22:14 UTC,02/25/2024 22:15 UTC,,"-0.04 % 51,766 USDT"
BTCUSDT,Short,"51,590.9 USDT",0.008,-412.73 USDT,-0.25 USDT,-0.06 %,02/25/2024 18:46 UTC,02/25/2024 18:47 UTC,,
BTCUSDT,Long,"51,585.7 USDT",0.012,619.03 USDT,-0.52 USDT,-0.08 %,02/25/2024 17:48 UTC,02/25/2024 18:45 UTC,"0.07 % 51,620 USDT","-0.10 % 51,534 USDT"
BTCUSDT,Long,"42,918.621 USDT",5.104,"219,056.64 USDT",-9.08 USDT,0.00 %,02/07/2024 08:52 UTC,02/07/2024 09:04 UTC,"0.09 % 42,958 USDT","-0.03 % 42,905 USDT"
BTCUSDT,Long,"47,270.453 USDT",27.155,"1,283,629.16 USDT","-3,303.54 USDT",-0.26 %,01/09/2024 21:11 UTC,01/09/2024 21:17 UTC,"1.54 % 48,000 USDT","-3.64 % 45,550 USDT"
BTCUSDT,Long,"44,062.4 USDT",0.003,132.19 USDT,-0.03 USDT,-0.03 %,01/04/2024 18:58 UTC,01/04/2024 19:00 UTC,"0.03 % 44,077 USDT","-0.07 % 44,033 USDT"
BTCUSDT,Long,"42,889.9 USDT",0.014,600.46 USDT,-0.46 USDT,-0.08 %,01/03/2024 17:42 UTC,01/03/2024 17:43 UTC,"0.01 % 42,893 USDT","-0.02 % 42,880 USDT"
BTCUSDT,Long,"36,507.5 USDT",0.008,292.06 USDT,-0.24 USDT,-0.08 %,11/18/2023 11:18 UTC,11/18/2023 11:21 UTC,,"-0.05 % 36,490 USDT"
BTCUSDT,Long,"26,910.557 USDT",45.985,"1,237,481.96 USDT","-2,128.84 USDT",-0.17 %,10/13/2023 20:52 UTC,10/13/2023 21:15 UTC,"0.78 % 27,120 USDT","-0.19 % 26,858 USDT"
BTCUSDT,Long,"26,935.027 USDT",65.401,"1,761,577.70 USDT","21,870 USDT",1.24 %,08/29/2023 14:25 UTC,08/29/2023 14:53 UTC,"2.80 % 27,690 USDT","-0.10 % 26,907 USDT"
ETCUSDT,Long,19.168 USDT,0.52,9.97 USDT,0.00 USDT,0.02 %,05/02/2023 15:37 UTC,05/02/2023 15:37 UTC,,
