Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
RDNTUSDT,Short,0.032 USDT,"3,071,717","-97,255.37 USDT","16,303 USDT",16.76 %,04/24/2025 21:45 UTC,04/24/2025 22:10 UTC,20.85 % 0.03 USDT,
BSWUSDT,Short,0.04 USDT,"5,145,291","-205,454.46 USDT","16,074 USDT",7.82 %,04/24/2025 20:41 UTC,04/24/2025 21:24 UTC,7.92 % 0.04 USDT,
BSWUSDT,Short,0.042 USDT,"4,202,932","-175,795.45 USDT","4,629 USDT",2.63 %,04/24/2025 20:37 UTC,04/24/2025 20:41 UTC,,
BSWUSDT,Short,0.037 USDT,"215,520","7,892.51 USDT",-394.86 USDT,-5.00 %,04/24/2025 20:32 UTC,04/24/2025 20:34 UTC,,-4.26 % 0.04 USDT
NKNUSDT,Short,0.042 USDT,"4,752,818","-199,995.69 USDT","3,993 USDT",2.00 %,04/24/2025 19:15 UTC,04/24/2025 19:25 UTC,1.32 % 0.04 USDT,-1.61 % 0.04 USDT
NEIROETHUSDT,Short,0.067 USDT,"2,236,357","-150,367.61 USDT","-1,482.88 USDT",-0.99 %,04/24/2025 17:03 UTC,04/24/2025 18:15 UTC,5.44 % 0.06 USDT,-5.56 % 0.07 USDT
MAGICUSDT,Short,0.229 USDT,"217,918.1","49,987.19 USDT",-33.30 USDT,-0.07 %,04/24/2025 17:43 UTC,04/24/2025 18:02 UTC,1.90 % 0.23 USDT,-0.87 % 0.23 USDT
ZEREBROUSDT,Short,0.088 USDT,"2,494,889","-225,999.42 USDT","31,728 USDT",14.04 %,04/24/2025 16:34 UTC,04/24/2025 17:07 UTC,20.12 % 0.07 USDT,
NEIROETHUSDT,Short,0.072 USDT,"696,611","50,019.25 USDT","1,540 USDT",3.08 %,04/24/2025 16:44 UTC,04/24/2025 16:47 UTC,1.88 % 0.07 USDT,
ALPACAUSDT,Short,0.072 USDT,"689,503","-49,598.70 USDT","7,283 USDT",14.68 %,04/24/2025 16:20 UTC,04/24/2025 16:21 UTC,,
ALPACAUSDT,Short,0.076 USDT,"1,314,677","-99,966.33 USDT","7,013 USDT",7.02 %,04/24/2025 16:07 UTC,04/24/2025 16:13 UTC,5.98 % 0.07 USDT,
ALPACAUSDT,Short,0.075 USDT,"668,720","50,465.60 USDT",-193.70 USDT,-0.38 %,04/24/2025 16:00 UTC,04/24/2025 16:02 UTC,,
NEIROETHUSDT,Short,0.069 USDT,"2,846,586","-200,194.03 USDT","16,598 USDT",8.29 %,04/23/2025 17:23 UTC,04/23/2025 22:24 UTC,9.31 % 0.06 USDT,-1.63 % 0.07 USDT
ZEREBROUSDT,Short,0.091 USDT,"1,106,168","-100,166.57 USDT","11,240 USDT",11.22 %,04/23/2025 17:21 UTC,04/23/2025 21:11 UTC,14.48 % 0.08 USDT,-0.85 % 0.09 USDT
TRUMPUSDT,Short,15.479 USDT,"9,742.14","-150,797.49 USDT","9,730 USDT",6.45 %,04/23/2025 16:32 UTC,04/23/2025 16:35 UTC,4.31 % 14.84 USDT,
NEIROETHUSDT,Short,0.061 USDT,"820,865","49,984.76 USDT",-717.53 USDT,-1.44 %,04/23/2025 16:23 UTC,04/23/2025 16:27 UTC,,-0.97 % 0.06 USDT
VOXELUSDT,Long,0.074 USDT,"403,235","29,873.19 USDT",49.07 USDT,0.16 %,04/23/2025 14:14 UTC,04/23/2025 14:35 UTC,4.95 % 0.08 USDT,-1.46 % 0.07 USDT
NEIROETHUSDT,Short,0.068 USDT,"737,990","49,960.66 USDT",500.05 USDT,1.00 %,04/23/2025 12:14 UTC,04/23/2025 14:15 UTC,8.16 % 0.06 USDT,
SWARMSUSDT,Long,0.027 USDT,"3,661,575","99,431.21 USDT","3,959 USDT",3.98 %,04/23/2025 10:24 UTC,04/23/2025 11:10 UTC,7.49 % 0.03 USDT,-2.41 % 0.03 USDT
ACTUSDT,Short,0.081 USDT,"617,917","49,947.60 USDT",57.84 USDT,0.12 %,04/23/2025 10:52 UTC,04/23/2025 10:59 UTC,1.45 % 0.08 USDT,
SWARMSUSDT,Long,0.029 USDT,"740,451","21,106.34 USDT",183.71 USDT,0.87 %,04/23/2025 10:15 UTC,04/23/2025 10:21 UTC,3.00 % 0.03 USDT,-0.05 % 0.03 USDT
DIAUSDT,Short,0.457 USDT,"74,884","-34,194.48 USDT","3,298 USDT",9.65 %,04/22/2025 16:09 UTC,04/22/2025 16:30 UTC,3.12 % 0.44 USDT,
VOXELUSDT,Long,0.068 USDT,"1,652,195","112,866.24 USDT","-2,368.38 USDT",-2.10 %,04/22/2025 15:58 UTC,04/22/2025 16:02 UTC,0.48 % 0.07 USDT,-2.76 % 0.07 USDT
MAGICUSDT,Short,0.244 USDT,"203,184.1","-49,615.35 USDT","-1,088.89 USDT",-2.19 %,04/22/2025 11:29 UTC,04/22/2025 11:49 UTC,,-1.93 % 0.25 USDT
MAGICUSDT,Short,0.245 USDT,"407,507.2","99,896.24 USDT",160.00 USDT,0.16 %,04/22/2025 10:56 UTC,04/22/2025 11:10 UTC,0.92 % 0.24 USDT,
MAGICUSDT,Short,0.246 USDT,"814,825","-200,194.25 USDT","-4,588.35 USDT",-2.29 %,04/22/2025 10:07 UTC,04/22/2025 10:31 UTC,0.90 % 0.24 USDT,-3.50 % 0.25 USDT
PIXELUSDT,Short,0.046 USDT,"2,177,933","100,133.95 USDT","1,728 USDT",1.73 %,04/21/2025 21:01 UTC,04/21/2025 21:25 UTC,1.81 % 0.05 USDT,
PIXELUSDT,Long,0.049 USDT,"2,135,101","104,395.98 USDT","-1,896.00 USDT",-1.82 %,04/21/2025 17:57 UTC,04/21/2025 18:01 UTC,1.48 % 0.05 USDT,-2.38 % 0.05 USDT
