Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BERAUSD,Short,3.892 USDT,"271,632.6","1,057,184.65 USDT","-130,200.29 USDT",-12.32 %,05/06/2025 18:20 UTC,05/12/2025 07:20 UTC,,
kPEPEUSD,Long,0.009 USDT,"5,500,174","49,664.00 USDT","18,869 USDT",37.99 %,05/01/2025 10:47 UTC,05/09/2025 18:47 UTC,,
SOLUSD,Long,149.698 USDT,"2,857.57","427,772.75 USDT","8,521 USDT",1.99 %,04/24/2025 16:47 UTC,05/08/2025 09:19 UTC,,
FARTCOINUSD,Long,0.983 USDT,"1,474,944.1","1,449,872.95 USDT","199,238 USDT",13.74 %,04/24/2025 03:41 UTC,04/29/2025 14:43 UTC,,
ETHUSD,Long,"1,702.516 USDT",176.129,"299,861.71 USDT","12,114 USDT",4.04 %,04/22/2025 18:58 UTC,04/24/2025 03:48 UTC,,
FARTCOINUSD,Long,1.07 USDT,"168,553.1","180,276.15 USDT","-2,379.41 USDT",-1.32 %,04/22/2025 15:48 UTC,04/24/2025 03:12 UTC,,
PAXGUSD,Long,"3,222.2 USDT",0.231,744.33 USDT,41.81 USDT,5.62 %,04/14/2025 10:24 UTC,04/22/2025 19:00 UTC,,
PAXGUSD,Long,"3,256.459 USDT",30.941,"100,758.09 USDT",-159.62 USDT,-0.16 %,04/11/2025 13:59 UTC,04/12/2025 22:18 UTC,,
FARTCOINUSD,Long,0.434 USDT,"193,362","84,004.19 USDT","1,757 USDT",2.09 %,03/31/2025 08:55 UTC,04/07/2025 06:47 UTC,,
kPEPEUSDT,Long,0.009 USDT,"10,860,121","100,184.62 USDT","2,514 USDT",2.51 %,02/22/2025 04:36 UTC,02/22/2025 15:14 UTC,3.44 % 0.01 USDT,-0.37 % 0.01 USDT
FARTCOINUSDT,Long,0.354 USDT,"208,121.2","73,766.48 USDT","4,452 USDT",6.04 %,02/15/2025 06:58 UTC,02/22/2025 15:14 UTC,7.30 % 0.38 USDT,-14.19 % 0.30 USDT
LINKUSDT,Long,17.588 USDT,"20,000","351,760.00 USDT",457.81 USDT,0.13 %,02/22/2025 04:34 UTC,02/22/2025 14:34 UTC,0.69 % 17.71 USDT,-0.88 % 17.43 USDT
FARTCOINUSDT,Long,0.466 USDT,"12,745.5","5,944.25 USDT","1,425 USDT",23.97 %,02/13/2025 13:50 UTC,02/14/2025 18:13 UTC,26.49 % 0.59 USDT,-3.23 % 0.45 USDT
HYPEUSDT,Long,25.503 USDT,"1,500","38,254.50 USDT","3,171 USDT",8.29 %,02/13/2025 19:42 UTC,02/14/2025 14:08 UTC,8.49 % 27.67 USDT,-0.40 % 25.40 USDT
BTCUSDT,Long,"94,699 USDT",0.75,"71,024.25 USDT","1,882 USDT",2.65 %,02/12/2025 13:43 UTC,02/12/2025 18:01 UTC,"3.24 % 97,765 USDT","-0.19 % 94,515 USDT"
FARTCOINUSDT,Long,0.518 USDT,"59,165","30,643.92 USDT","2,549 USDT",8.32 %,02/12/2025 03:02 UTC,02/12/2025 18:01 UTC,11.56 % 0.58 USDT,-6.97 % 0.48 USDT
HYPEUSDT,Long,23.175 USDT,"15,334.36","355,373.79 USDT","20,775 USDT",5.85 %,02/12/2025 13:43 UTC,02/12/2025 17:51 UTC,7.10 % 24.82 USDT,-1.65 % 22.79 USDT
FARTCOINUSDT,Long,0.567 USDT,"16,463.4","9,332.44 USDT",-233.94 USDT,-2.51 %,02/11/2025 21:45 UTC,02/11/2025 22:58 UTC,2.47 % 0.58 USDT,-2.93 % 0.55 USDT
HYPEUSDT,Long,23.166 USDT,"2,306.86","53,440.72 USDT","3,467 USDT",6.49 %,02/10/2025 01:34 UTC,02/11/2025 05:09 UTC,6.63 % 24.70 USDT,-4.08 % 22.22 USDT
FARTCOINUSDT,Long,0.609 USDT,"96,437.6","58,772.93 USDT","8,144 USDT",13.86 %,02/10/2025 20:12 UTC,02/11/2025 05:09 UTC,15.34 % 0.70 USDT,-7.97 % 0.56 USDT
FARTCOINUSDT,Short,0.638 USDT,"66,378.3","42,363.96 USDT",-100.03 USDT,-0.24 %,02/10/2025 20:11 UTC,02/10/2025 20:12 UTC,,-0.10 % 0.64 USDT
FARTCOINUSDT,Long,0.536 USDT,"146,157","78,353.31 USDT","7,640 USDT",9.75 %,02/08/2025 17:34 UTC,02/10/2025 13:02 UTC,15.09 % 0.62 USDT,-14.83 % 0.46 USDT
BTCUSDT,Long,"96,490 USDT",0.955,"92,168.21 USDT","-1,193.57 USDT",-1.29 %,02/08/2025 17:33 UTC,02/09/2025 22:12 UTC,"0.82 % 97,283 USDT","-1.89 % 94,662 USDT"
FARTCOINUSDT,Long,0.448 USDT,"10,186.7","4,567.61 USDT",392.34 USDT,8.59 %,02/05/2025 07:37 UTC,02/08/2025 14:09 UTC,30.47 % 0.59 USDT,-8.74 % 0.41 USDT
DOGEUSDT,Long,0.272 USDT,"2,881,637","781,240.61 USDT","4,483,690 USDT",573.92 %,02/01/2025 22:19 UTC,02/07/2025 13:52 UTC,7.79 % 0.29 USDT,-25.73 % 0.20 USDT
BTCUSDT,Long,"93,707 USDT",2.5,"234,267.50 USDT","19,125 USDT",8.16 %,02/03/2025 02:00 UTC,02/04/2025 02:01 UTC,"9.47 % 102,580 USDT","-1.15 % 92,627 USDT"
BTCUSDT,Long,"97,640 USDT",2.288,"233,322.08 USDT",-51.36 USDT,-0.02 %,01/27/2025 22:48 UTC,02/02/2025 23:55 UTC,"0.08 % 97,720 USDT","-0.03 % 97,615 USDT"
FARTCOINUSDT,Long,0.574 USDT,"268,082.3","153,745.20 USDT","27,047 USDT",17.59 %,02/01/2025 23:11 UTC,02/02/2025 23:35 UTC,,
FARTCOINUSDT,Short,0.672 USDT,"6,471.3","4,348.45 USDT",122.90 USDT,2.83 %,02/01/2025 22:55 UTC,02/01/2025 23:11 UTC,2.14 % 0.66 USDT,-1.14 % 0.68 USDT
FARTCOINUSDT,Long,0.714 USDT,"175,295.4","125,169.68 USDT","-2,503.72 USDT",-2.00 %,02/01/2025 13:30 UTC,02/01/2025 22:55 UTC,6.48 % 0.76 USDT,-8.33 % 0.65 USDT
ETHUSDT,Short,"3,056.7 USDT",55.146,"168,564.17 USDT",-50.57 USDT,-0.03 %,01/26/2025 23:20 UTC,01/31/2025 16:45 UTC,"0.66 % 3,036 USDT","-11.01 % 3,434 USDT"
RUNEUSDT,Short,2.448 USDT,"1,981.9","4,852.09 USDT",-1.49 USDT,-0.03 %,01/27/2025 05:26 UTC,01/31/2025 16:45 UTC,22.71 % 2.00 USDT,-0.94 % 2.47 USDT
TRUMPUSDT,Short,26.761 USDT,"3,254.2","87,085.65 USDT","-78,057.78 USDT",-89.63 %,01/26/2025 23:22 UTC,01/31/2025 16:45 UTC,6.91 % 25.03 USDT,-12.01 % 30.41 USDT
HYPEUSDT,Short,21.03 USDT,"14,698.19","309,102.94 USDT","-1,589.48 USDT",-0.51 %,01/27/2025 18:32 UTC,01/31/2025 16:45 UTC,0.55 % 20.91 USDT,-25.54 % 28.24 USDT
kPEPEUSDT,Short,0.013 USDT,"10,108,345","130,246.03 USDT","-14,962.17 USDT",-11.49 %,01/27/2025 05:16 UTC,01/31/2025 16:45 UTC,13.35 % 0.01 USDT,-12.50 % 0.01 USDT
LINKUSDT,Long,23.794 USDT,"26,714.7","635,649.57 USDT",-6.37 USDT,0.00 %,12/03/2024 00:32 UTC,01/31/2025 16:45 UTC,30.13 % 30.96 USDT,-24.98 % 17.85 USDT
XRPUSDT,Short,2.944 USDT,"65,000","191,379.50 USDT",-57.41 USDT,-0.03 %,01/26/2025 23:22 UTC,01/31/2025 16:45 UTC,8.61 % 2.71 USDT,-8.29 % 3.21 USDT
GOATUSDT,Short,0.202 USDT,"467,626","94,451.10 USDT",-28.40 USDT,-0.03 %,01/27/2025 05:27 UTC,01/31/2025 16:45 UTC,12.07 % 0.18 USDT,-8.14 % 0.22 USDT
DOGEUSDT,Long,0.406 USDT,"32,880,670","6,699,436.51 USDT","4,495,379 USDT",67.10 %,05/09/2024 13:50 UTC,01/31/2025 16:45 UTC,,
WIFUSDT,Short,1.14 USDT,"82,593","94,197.32 USDT","-72,613.02 USDT",-77.09 %,01/27/2025 05:59 UTC,01/31/2025 16:45 UTC,16.65 % 0.98 USDT,-16.61 % 1.37 USDT
FARTCOINUSDT,Short,0.999 USDT,"145,964.7","145,863.98 USDT","13,538 USDT",9.28 %,01/27/2025 05:32 UTC,01/31/2025 16:45 UTC,28.18 % 0.78 USDT,-8.41 % 1.09 USDT
kBONKUSDT,Short,0.026 USDT,"1,606,832","41,065.81 USDT","-3,158.73 USDT",-7.69 %,01/27/2025 05:25 UTC,01/31/2025 16:45 UTC,12.37 % 0.02 USDT,-4.53 % 0.03 USDT
BTCUSDT,Long,"100,280 USDT",0.861,"86,371.16 USDT",-833.40 USDT,-0.96 %,01/23/2025 17:00 UTC,01/27/2025 18:32 UTC,"2.09 % 102,380 USDT","-2.57 % 97,700 USDT"
WIFUSDT,Long,2.213 USDT,"67,653","149,743.15 USDT","-72,958.32 USDT",-48.72 %,12/18/2024 20:07 UTC,01/27/2025 05:59 UTC,1.83 % 2.25 USDT,-48.87 % 1.13 USDT
FARTCOINUSDT,Long,1.486 USDT,"230,784.5","348,923.09 USDT","-63,048.13 USDT",-18.07 %,01/16/2025 11:01 UTC,01/27/2025 05:32 UTC,91.27 % 2.84 USDT,-36.14 % 0.95 USDT
GOATUSDT,Long,0.871 USDT,"446,534","389,118.66 USDT","-297,883.20 USDT",-76.55 %,11/18/2024 20:44 UTC,01/27/2025 05:27 UTC,6.43 % 0.93 USDT,-76.73 % 0.20 USDT
RUNEUSDT,Long,5.992 USDT,"207,795.2","1,245,004.94 USDT","-858,775.18 USDT",-68.98 %,05/09/2024 13:50 UTC,01/27/2025 05:26 UTC,26.61 % 7.59 USDT,-68.08 % 1.91 USDT
kBONKUSDT,Long,0.047 USDT,"10,926,391","515,299.53 USDT","-235,067.47 USDT",-45.62 %,11/17/2024 02:23 UTC,01/27/2025 05:25 UTC,27.34 % 0.06 USDT,-48.42 % 0.02 USDT
kPEPEUSDT,Long,0.02 USDT,"55,051,957","1,113,646.04 USDT","-398,261.61 USDT",-35.76 %,11/17/2024 02:21 UTC,01/27/2025 05:16 UTC,40.70 % 0.03 USDT,-35.98 % 0.01 USDT
HYPEUSDT,Long,21.328 USDT,388.08,"8,276.97 USDT",857.59 USDT,10.36 %,01/19/2025 21:27 UTC,01/26/2025 18:41 UTC,,
JUPUSDT,Short,0.795 USDT,"70,000","55,664.70 USDT",-701.79 USDT,-1.26 %,01/22/2025 15:46 UTC,01/22/2025 15:50 UTC,,
HYPEUSDT,Long,21.078 USDT,"1,781.66","37,553.83 USDT","3,299 USDT",8.79 %,01/08/2025 03:53 UTC,01/19/2025 18:27 UTC,,
HYPEUSDT,Long,22.979 USDT,664.25,"15,263.80 USDT",550.56 USDT,3.61 %,01/02/2025 12:56 UTC,01/04/2025 04:12 UTC,,
BTCUSDT,Long,"77,821 USDT",25.846,"1,603,539.80 USDT","564,521 USDT",35.20 %,07/20/2024 02:52 UTC,12/02/2024 17:18 UTC,"27.75 % 99,413 USDT","-32.49 % 52,534 USDT"
MOODENGUSDT,Long,0.45 USDT,"364,626","164,132.75 USDT","17,420 USDT",10.61 %,11/18/2024 20:44 UTC,12/02/2024 15:16 UTC,16.42 % 0.52 USDT,-34.90 % 0.29 USDT
BIGTIMEUSDT,Long,0.142 USDT,"351,741","49,968.33 USDT","7,756 USDT",15.52 %,11/21/2024 19:18 UTC,11/25/2024 00:07 UTC,17.46 % 0.17 USDT,-6.69 % 0.13 USDT
