Symbol,Direction,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time
BTCUSD,Long,968660.78 USDT,16674.23 USDT,1.72 %,03/17/2024 16:37 UTC,03/17/2024 17:55 UTC
BTCUSD,Long,4866859.88 USDT,56677.92 USDT,1.16 %,03/18/2024 19:31 UTC,03/21/2024 05:53 UTC
BTCUSD,Long,3073240.28 USDT,29180.67 USDT,0.95 %,03/23/2024 06:36 UTC,04/03/2024 09:33 UTC
BTCUSD,Long,1001065.19 USDT,51025.84 USDT,5.10 %,04/14/2024 05:08 UTC,04/15/2024 22:05 UTC
BTCUSD,Long,2772572.32 USDT,66031.47 USDT,2.38 %,06/24/2024 19:01 UTC,06/25/2024 23:34 UTC
BTCUSD,Long,1938909.50 USDT,-2365.62 USDT,-0.12 %,06/29/2024 04:18 UTC,06/30/2024 11:50 UTC
BTCUSD,Long,3412552.50 USDT,102162.65 USDT,2.99 %,07/04/2024 10:54 UTC,07/07/2024 02:01 UTC
BTCUSD,Long,2326942.49 USDT,45672.59 USDT,1.96 %,07/08/2024 00:30 UTC,07/08/2024 17:48 UTC
BTCUSD,Long,535071.74 USDT,12922.27 USDT,2.42 %,07/09/2024 01:02 UTC,07/09/2024 16:11 UTC
BTCUSD,Long,546993.52 USDT,5757.97 USDT,1.05 %,07/12/2024 21:41 UTC,07/12/2024 23:05 UTC
BTCUSD,Long,600445.79 USDT,23348.69 USDT,3.89 %,08/02/2024 02:08 UTC,08/02/2024 07:42 UTC
BTCUSD,Long,1156748.32 USDT,314.10 USDT,0.03 %,08/04/2024 06:12 UTC,08/04/2024 16:34 UTC
BTCUSD,Long,1733462.71 USDT,11551.83 USDT,0.67 %,09/04/2024 10:10 UTC,09/04/2024 14:15 UTC
BTCUSD,Long,3372202.89 USDT,101661.33 USDT,3.01 %,09/06/2024 00:28 UTC,09/10/2024 09:04 UTC
BTCUSD,Long,1800054.65 USDT,59731.78 USDT,3.32 %,09/11/2024 12:04 UTC,09/12/2024 17:25 UTC
BTCUSD,Long,554065.43 USDT,25586.28 USDT,4.62 %,09/13/2024 00:16 UTC,09/14/2024 11:47 UTC
BTCUSD,Long,555615.13 USDT,9171.67 USDT,1.65 %,09/16/2024 23:29 UTC,09/17/2024 22:42 UTC
BTCUSD,Long,3128917.24 USDT,44868.58 USDT,1.43 %,10/02/2024 11:39 UTC,10/05/2024 02:34 UTC
BTCUSD,Long,3298248.07 USDT,32887.05 USDT,1.00 %,10/08/2024 10:15 UTC,10/12/2024 00:34 UTC
BTCUSD,Long,1983074.80 USDT,7181.67 USDT,0.36 %,11/01/2024 20:09 UTC,11/05/2024 23:55 UTC
BTCUSD,Long,827746.64 USDT,50580.40 USDT,6.11 %,11/12/2024 22:59 UTC,11/14/2024 02:42 UTC
BTCUSD,Long,2900856.38 USDT,122902.63 USDT,4.24 %,11/15/2024 01:10 UTC,11/18/2024 16:02 UTC
BTCUSD,Long,804470.17 USDT,7027.85 USDT,0.87 %,11/18/2024 23:01 UTC,11/19/2024 00:23 UTC
BTCUSD,Long,1657312.47 USDT,9288.10 USDT,0.56 %,11/26/2024 19:27 UTC,11/27/2024 10:58 UTC
BTCUSD,Long,2550958.68 USDT,25956.09 USDT,1.02 %,12/20/2024 18:09 UTC,12/20/2024 23:50 UTC
BTCUSD,Long,285884.31 USDT,4657.26 USDT,1.63 %,12/20/2024 23:54 UTC,12/21/2024 00:31 UTC
BTCUSD,Long,1697606.51 USDT,25174.81 USDT,1.48 %,12/23/2024 04:52 UTC,12/23/2024 13:25 UTC
BTCUSD,Long,1681887.93 USDT,35644.27 USDT,2.12 %,12/23/2024 23:43 UTC,12/24/2024 23:02 UTC
BTCUSD,Long,846861.90 USDT,2429.81 USDT,0.29 %,12/28/2024 10:08 UTC,12/29/2024 00:33 UTC
BTCUSD,Long,3315795.61 USDT,103405.66 USDT,3.12 %,12/30/2024 01:40 UTC,12/31/2024 22:56 UTC
BTCUSD,Long,840300.86 USDT,29963.16 USDT,3.57 %,01/01/2025 02:38 UTC,01/03/2025 00:18 UTC
BTCUSD,Long,5072144.79 USDT,14723.45 USDT,0.29 %,01/08/2025 09:16 UTC,01/13/2025 00:04 UTC
BTCUSD,Long,4679137.29 USDT,207283.76 USDT,4.43 %,01/13/2025 00:20 UTC,01/14/2025 21:24 UTC
BTCUSD,Long,1207926.90 USDT,32566.03 USDT,2.70 %,01/21/2025 09:58 UTC,01/21/2025 23:35 UTC
BTCUSD,Long,913953.90 USDT,33494.61 USDT,3.66 %,01/23/2025 13:15 UTC,01/23/2025 23:48 UTC
BTCUSD,Long,4816785.08 USDT,44295.62 USDT,0.92 %,01/27/2025 08:17 UTC,01/28/2025 00:16 UTC
BTCUSD,Long,3671543.94 USDT,171593.28 USDT,4.67 %,02/02/2025 13:52 UTC,02/04/2025 05:37 UTC
BTCUSD,Long,15326679.41 USDT,1059103.85 USDT,6.91 %,02/19/2025 03:43 UTC,03/03/2025 09:13 UTC
BTCUSD,Long,2847380.84 USDT,85006.90 USDT,2.99 %,03/07/2025 09:28 UTC,03/07/2025 20:07 UTC
BTCUSD,Long,1942407.81 USDT,104732.40 USDT,5.39 %,03/11/2025 10:31 UTC,03/12/2025 11:35 UTC
BTCUSD,Long,1896854.43 USDT,101137.88 USDT,5.33 %,04/07/2025 17:23 UTC,04/08/2025 11:31 UTC
BTCUSD,Long,1588203.66 USDT,49076.43 USDT,3.09 %,04/09/2025 14:22 UTC,04/10/2025 12:06 UTC
