Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
BERAUSDT,Short,6.405 USDT,"81,000","-486,884.22 USDT","-203,923.35 USDT",-41.88 %,03/11/2025 18:22 UTC,04/03/2025 11:22 UTC,11.79 % 5.73 USDT,-28.25 % 8.93 USDT
MOVEUSDT,Short,0.437 USDT,"400,000","174,847.80 USDT","9,004 USDT",5.15 %,03/30/2025 14:43 UTC,03/31/2025 00:57 UTC,5.81 % 0.41 USDT,-0.38 % 0.44 USDT
ENAUSDT,Long,0.407 USDT,"1,922,288","782,977.18 USDT","40,485 USDT",5.17 %,03/25/2025 08:24 UTC,03/27/2025 13:26 UTC,8.61 % 0.44 USDT,-1.40 % 0.40 USDT
ARUSDT,Long,6.885 USDT,"30,409.5","209,374.25 USDT","14,155 USDT",6.76 %,03/18/2025 04:29 UTC,03/23/2025 05:12 UTC,9.66 % 7.55 USDT,-5.55 % 6.50 USDT
LAYERUSDT,Short,1.04 USDT,"200,000","-208,051.26 USDT","9,568 USDT",4.60 %,03/18/2025 01:57 UTC,03/18/2025 08:39 UTC,6.07 % 0.98 USDT,-0.03 % 1.04 USDT
CAKEUSDT,Long,2.27 USDT,"300,000","680,971.10 USDT","76,337 USDT",11.21 %,02/21/2025 10:00 UTC,03/17/2025 15:38 UTC,18.49 % 2.69 USDT,-39.25 % 1.38 USDT
LINKUSDT,Short,13.937 USDT,"10,000","139,370.66 USDT","1,527 USDT",1.10 %,03/14/2025 10:33 UTC,03/15/2025 02:53 UTC,2.28 % 13.63 USDT,-4.72 % 14.63 USDT
BERAUSDT,Short,7.075 USDT,"100,000.6","-707,473.24 USDT","134,371 USDT",18.99 %,02/21/2025 09:10 UTC,03/11/2025 06:18 UTC,33.36 % 5.30 USDT,-22.26 % 9.10 USDT
MKRUSDT,Long,"1,563.753 USDT",406.55,"635,743.80 USDT","83,249 USDT",13.09 %,02/23/2025 14:15 UTC,02/27/2025 11:36 UTC,"14.85 % 1,796 USDT","-14.54 % 1,336 USDT"
SOLUSDT,Short,156.186 USDT,"2,000","312,372.03 USDT","3,965 USDT",1.27 %,02/24/2025 11:08 UTC,02/24/2025 17:18 UTC,3.17 % 151.39 USDT,-2.38 % 159.99 USDT
