Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
ACTUSDT,Long,0.09 USDT,"435,170","39,156.60 USDT",-976.23 USDT,-2.49 %,04/01/2025 17:03 UTC,04/01/2025 19:49 UTC,2.68 % 0.09 USDT,-9.31 % 0.08 USDT
TUTUSDT,Long,0.05 USDT,"466,118","23,249.75 USDT","-1,737.85 USDT",-7.47 %,03/29/2025 10:34 UTC,03/29/2025 13:59 UTC,12.27 % 0.06 USDT,-8.40 % 0.05 USDT
CAKEUSDT,Long,2.438 USDT,"145,923","353,565.31 USDT","-3,122.52 USDT",-0.88 %,03/19/2025 14:11 UTC,03/29/2025 10:02 UTC,13.01 % 2.76 USDT,-20.13 % 1.95 USDT
SIRENUSDT,Short,0.052 USDT,"3,665,194","-192,246.99 USDT","66,816 USDT",34.76 %,03/26/2025 23:34 UTC,03/28/2025 10:39 UTC,57.85 % 0.03 USDT,-4.74 % 0.06 USDT
BANANAS31USDT,Short,0.006 USDT,"24,307,330","-155,941.21 USDT","2,684 USDT",1.72 %,03/26/2025 08:36 UTC,03/27/2025 17:34 UTC,3.14 % 0.01 USDT,-13.49 % 0.01 USDT
SIRENUSDT,Long,0.048 USDT,"3,519,614","170,617.38 USDT","-4,613.27 USDT",-2.70 %,03/26/2025 22:43 UTC,03/26/2025 22:47 UTC,0.42 % 0.05 USDT,-5.54 % 0.05 USDT
SIRENUSDT,Short,0.052 USDT,"2,265,963","-118,500.54 USDT","11,297 USDT",9.53 %,03/26/2025 16:56 UTC,03/26/2025 22:34 UTC,10.14 % 0.05 USDT,
SIRENUSDT,Long,0.066 USDT,"806,079","53,214.71 USDT","-4,308.30 USDT",-8.10 %,03/26/2025 11:32 UTC,03/26/2025 15:03 UTC,0.43 % 0.07 USDT,-11.20 % 0.06 USDT
SIRENUSDT,Long,0.076 USDT,"7,111,124","541,696.60 USDT","-22,575.53 USDT",-4.17 %,03/25/2025 13:02 UTC,03/25/2025 20:25 UTC,6.62 % 0.08 USDT,-6.93 % 0.07 USDT
AIXBTUSDT,Long,0.128 USDT,"514,332","66,025.36 USDT","-5,494.43 USDT",-8.32 %,03/24/2025 11:27 UTC,03/25/2025 20:25 UTC,8.28 % 0.14 USDT,-10.56 % 0.11 USDT
LINKUSDT,Long,15.265 USDT,"5,676.53","86,650.96 USDT","1,326 USDT",1.53 %,03/24/2025 15:58 UTC,03/25/2025 20:25 UTC,2.09 % 15.58 USDT,-2.65 % 14.86 USDT
SIRENUSDT,Long,0.074 USDT,"5,808,311","428,720.52 USDT","7,312 USDT",1.71 %,03/24/2025 08:10 UTC,03/25/2025 12:31 UTC,13.69 % 0.08 USDT,-2.01 % 0.07 USDT
SIRENUSDT,Short,0.061 USDT,"878,738","-53,731.23 USDT",-176.67 USDT,-0.33 %,03/24/2025 08:06 UTC,03/24/2025 08:07 UTC,,-0.41 % 0.06 USDT
