Symbol,Direction,Max Size USDT,Volume,Realized PnL,Realized PnL %,Open Time,Close Time
ETHUSD,Short,1981559.79 USDT,3963119.58 USDT,-8046.88 USDT,-0.41 %,01/10/2024 18:35 UTC,01/11/2024 00:10 UTC
ETHUSD,Short,3718143.33 USDT,7436286.66 USDT,18364.35 USDT,0.49 %,01/11/2024 08:20 UTC,01/11/2024 12:58 UTC
ETHUSD,Short,4868979.77 USDT,10921155.22 USDT,19964.92 USDT,0.41 %,01/12/2024 20:29 UTC,01/17/2024 09:17 UTC
ETHUSD,Long,11116406.25 USDT,22232812.50 USDT,-21093.97 USDT,-0.19 %,01/23/2024 19:01 UTC,01/23/2024 19:02 UTC
BTCUSD,Short,5189210.98 USDT,10378421.96 USDT,-82005.65 USDT,-1.58 %,02/05/2024 05:03 UTC,02/05/2024 19:04 UTC
BTCUSD,Long,3476668.64 USDT,6953337.28 USDT,530394.92 USDT,15.26 %,02/08/2024 15:44 UTC,02/16/2024 15:53 UTC
BTCUSD,Long,2991296.78 USDT,5982593.56 USDT,217704.95 USDT,7.28 %,02/27/2024 09:34 UTC,02/28/2024 17:32 UTC
BTCUSD,Long,5016508.15 USDT,10033016.30 USDT,11401.08 USDT,0.23 %,03/04/2024 09:04 UTC,03/04/2024 09:49 UTC
ETHUSD,Short,4976481.40 USDT,9952962.80 USDT,2689.91 USDT,0.05 %,03/07/2024 10:04 UTC,03/07/2024 17:03 UTC
ETHUSD,Short,4967547.16 USDT,9935094.32 USDT,-17705.98 USDT,-0.36 %,03/09/2024 05:27 UTC,03/09/2024 15:34 UTC
ETHUSD,Short,9942063.83 USDT,19884127.66 USDT,-48524.85 USDT,-0.49 %,03/10/2024 06:28 UTC,03/10/2024 09:42 UTC
ETHUSD,Short,995129.07 USDT,1990258.14 USDT,1659.97 USDT,0.17 %,03/11/2024 09:05 UTC,03/11/2024 13:04 UTC
ETHUSD,Short,1489553.48 USDT,2979106.96 USDT,-802.00 USDT,-0.05 %,03/11/2024 17:01 UTC,03/11/2024 17:19 UTC
ETHUSD,Short,1492606.34 USDT,2985212.68 USDT,-3531.10 USDT,-0.24 %,03/11/2024 17:39 UTC,03/11/2024 17:46 UTC
BTCUSD,Long,1245764.24 USDT,2491528.48 USDT,-16710.78 USDT,-1.34 %,03/13/2024 17:52 UTC,03/14/2024 19:56 UTC
ETHUSD,Short,1492746.76 USDT,2985493.52 USDT,58597.68 USDT,3.93 %,03/15/2024 05:26 UTC,03/15/2024 13:52 UTC
BTCUSD,Short,1990253.76 USDT,3980507.52 USDT,65697.95 USDT,3.30 %,03/15/2024 17:08 UTC,03/15/2024 18:15 UTC
BTCUSD,Short,4971945.18 USDT,9943890.36 USDT,2693.12 USDT,0.05 %,03/16/2024 05:00 UTC,03/16/2024 07:49 UTC
BTCUSD,Short,2979805.65 USDT,5959611.30 USDT,224669.85 USDT,7.54 %,03/18/2024 17:01 UTC,03/19/2024 17:32 UTC
ETHUSD,Long,2986238.67 USDT,8958029.54 USDT,-18217.93 USDT,-0.61 %,03/20/2024 16:59 UTC,03/20/2024 17:59 UTC
ETHUSD,Long,2985593.78 USDT,5971187.56 USDT,-85.63 USDT,-0.00 %,03/20/2024 18:07 UTC,03/20/2024 19:40 UTC
SOLUSD,Short,4969706.49 USDT,9939412.97 USDT,-277764.23 USDT,-5.59 %,03/23/2024 13:00 UTC,03/25/2024 13:09 UTC
ETHUSD,Long,1756696.10 USDT,3513392.20 USDT,-20660.18 USDT,-1.18 %,03/27/2024 15:02 UTC,03/27/2024 16:35 UTC
BTCUSD,Long,10796103.48 USDT,21592206.96 USDT,-13385.15 USDT,-0.12 %,05/04/2024 13:47 UTC,05/04/2024 15:05 UTC
BTCUSD,Long,9933058.65 USDT,19866117.30 USDT,-2734.23 USDT,-0.03 %,05/10/2024 01:00 UTC,05/10/2024 01:45 UTC
ETHUSD,Long,4966355.14 USDT,9932710.28 USDT,5751.28 USDT,0.12 %,05/13/2024 12:40 UTC,05/13/2024 13:41 UTC
BTCUSD,Long,9931185.89 USDT,19862371.78 USDT,-13367.54 USDT,-0.13 %,05/15/2024 03:11 UTC,05/15/2024 03:26 UTC
BTCUSD,Long,10426323.09 USDT,20852646.18 USDT,35148.12 USDT,0.34 %,05/16/2024 09:00 UTC,05/28/2024 12:35 UTC
