Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
ONDOUSDT,Long,0.818 USDT,"36,563","29,915.51 USDT","-1,296.93 USDT",-4.34 %,04/04/2025 15:35 UTC,04/06/2025 14:12 UTC,,
SOLUSDT,Short,114.541 USDT,"1,000","114,540.62 USDT",-718.31 USDT,-0.63 %,04/06/2025 14:06 UTC,04/06/2025 14:12 UTC,,
LINKUSDT,Short,12.141 USDT,"7,791.8","94,599.71 USDT",-657.47 USDT,-0.70 %,04/06/2025 14:05 UTC,04/06/2025 14:12 UTC,,
ATHUSDT,Long,0.029 USDT,"1,000,096","28,696.58 USDT",378.88 USDT,1.32 %,04/03/2025 01:00 UTC,04/06/2025 14:12 UTC,,
SOLUSDT,Long,117.681 USDT,"2,000","235,362.74 USDT","1,335 USDT",0.57 %,04/04/2025 12:34 UTC,04/06/2025 13:04 UTC,,
ARKUSDT,Short,0.365 USDT,"250,000","-91,364.72 USDT","1,528 USDT",1.67 %,04/06/2025 07:56 UTC,04/06/2025 08:20 UTC,,
LINKUSDT,Long,12.808 USDT,"7,791.8","99,796.93 USDT",34.04 USDT,0.03 %,04/04/2025 15:34 UTC,04/05/2025 05:57 UTC,,
HIPPOUSDT,Long,0.004 USDT,"12,437,811","49,690.47 USDT",353.98 USDT,0.71 %,04/04/2025 14:00 UTC,04/04/2025 14:09 UTC,6.13 % 0.00 USDT,-2.13 % 0.00 USDT
FILUSDT,Short,2.994 USDT,"213,756.9","-639,953.39 USDT","24,698 USDT",3.86 %,04/04/2025 07:05 UTC,04/04/2025 07:58 UTC,4.42 % 2.87 USDT,-0.50 % 3.01 USDT
FILUSDT,Long,2.995 USDT,"54,059.1","161,913.35 USDT","1,969 USDT",1.22 %,04/04/2025 07:04 UTC,04/04/2025 07:05 UTC,,
MAGICUSDT,Short,0.095 USDT,"1,067,843","-101,552.45 USDT",-612.34 USDT,-0.60 %,04/03/2025 01:17 UTC,04/03/2025 01:29 UTC,1.06 % 0.09 USDT,-0.52 % 0.10 USDT
RSRUSDT,Long,0.007 USDT,"2,888,754","19,321.35 USDT",-948.63 USDT,-4.91 %,04/02/2025 21:30 UTC,04/02/2025 21:30 UTC,,
TRXUSDT,Short,0.236 USDT,"1,000,000","236,263.40 USDT","-1,388.83 USDT",-0.59 %,04/02/2025 15:24 UTC,04/02/2025 15:28 UTC,,-0.32 % 0.24 USDT
HIPPOUSDT,Short,0.004 USDT,"13,964,372","48,908.72 USDT","-1,951.76 USDT",-3.99 %,04/01/2025 19:28 UTC,04/01/2025 19:35 UTC,0.93 % 0.00 USDT,-2.44 % 0.00 USDT
MASKUSDT,Short,1.949 USDT,"95,978","-187,020.68 USDT","2,589 USDT",1.38 %,04/01/2025 17:57 UTC,04/01/2025 18:12 UTC,2.34 % 1.90 USDT,-0.58 % 1.96 USDT
SOLUSDT,Long,124.242 USDT,"1,000","124,241.91 USDT","4,382 USDT",3.53 %,03/31/2025 00:21 UTC,04/01/2025 16:15 UTC,4.95 % 130.39 USDT,-1.34 % 122.58 USDT
ORCAUSDT,Long,2.36 USDT,"100,000","235,965.90 USDT","-12,127.54 USDT",-5.14 %,04/01/2025 15:30 UTC,04/01/2025 16:05 UTC,,-6.13 % 2.22 USDT
COMPUSDT,Long,44.606 USDT,384.296,"17,141.99 USDT","4,701 USDT",27.43 %,04/01/2025 07:05 UTC,04/01/2025 07:18 UTC,44.46 % 64.44 USDT,
JOEUSDT,Short,0.176 USDT,"1,613,513","-284,064.93 USDT","11,183 USDT",3.94 %,03/31/2025 15:38 UTC,03/31/2025 21:19 UTC,4.61 % 0.17 USDT,-2.74 % 0.18 USDT
WAXPUSDT,Short,0.023 USDT,"2,177,700","50,443.20 USDT","2,073 USDT",4.11 %,03/31/2025 00:02 UTC,03/31/2025 09:40 UTC,7.03 % 0.02 USDT,-1.44 % 0.02 USDT
ARKMUSDT,Short,0.561 USDT,"90,645","50,823.62 USDT",605.53 USDT,1.19 %,03/30/2025 11:44 UTC,03/30/2025 13:01 UTC,1.21 % 0.55 USDT,
AAVEUSDT,Long,177.45 USDT,4,709.80 USDT,-0.37 USDT,-0.05 %,03/28/2025 05:55 UTC,03/28/2025 05:55 UTC,,
AAVEUSDT,Long,177.443 USDT,100,"17,744.31 USDT",9.03 USDT,0.05 %,03/28/2025 05:54 UTC,03/28/2025 05:54 UTC,,
AAVEUSDT,Long,176.809 USDT,100,"17,680.95 USDT",-33.55 USDT,-0.19 %,03/28/2025 05:42 UTC,03/28/2025 05:43 UTC,,-0.25 % 176.37 USDT
AAVEUSDT,Long,176.836 USDT,100,"17,683.58 USDT",-2.19 USDT,-0.01 %,03/28/2025 05:42 UTC,03/28/2025 05:42 UTC,,
AVAXUSDT,Long,21.529 USDT,"2,000","43,057.60 USDT",-235.37 USDT,-0.55 %,03/24/2025 04:09 UTC,03/28/2025 04:43 UTC,8.91 % 23.45 USDT,-1.42 % 21.22 USDT
AGLDUSDT,Long,0.987 USDT,"25,299","24,964.19 USDT",170.51 USDT,0.68 %,03/24/2025 15:08 UTC,03/28/2025 04:43 UTC,11.55 % 1.10 USDT,-0.90 % 0.98 USDT
ORCAUSDT,Short,2.831 USDT,"10,000","28,307.08 USDT",60.10 USDT,0.21 %,03/28/2025 03:44 UTC,03/28/2025 03:45 UTC,,
WALUSDT,Short,0.489 USDT,"1,000,000","-506,223.89 USDT","34,762 USDT",6.87 %,03/27/2025 19:45 UTC,03/28/2025 03:08 UTC,10.00 % 0.44 USDT,-5.69 % 0.52 USDT
TUTUSDT,Long,0.048 USDT,"500,000","24,136.32 USDT",-640.61 USDT,-2.65 %,03/27/2025 18:14 UTC,03/27/2025 18:17 UTC,2.31 % 0.05 USDT,-4.71 % 0.05 USDT
MAVIAUSDT,Long,0.477 USDT,"100,000","47,713.50 USDT","-2,902.22 USDT",-6.08 %,03/26/2025 17:15 UTC,03/27/2025 18:07 UTC,8.98 % 0.52 USDT,-13.71 % 0.41 USDT
TUTUSDT,Long,0.041 USDT,"500,000","20,318.27 USDT","1,169 USDT",5.75 %,03/27/2025 17:39 UTC,03/27/2025 17:50 UTC,14.18 % 0.05 USDT,-1.49 % 0.04 USDT
TUTUSDT,Short,0.031 USDT,"5,227,881","-161,743.87 USDT","-45,240.38 USDT",-27.97 %,03/27/2025 17:28 UTC,03/27/2025 17:35 UTC,,-17.21 % 0.04 USDT
BANANAS31USDT,Short,0.008 USDT,"6,709,608","50,422.19 USDT","5,049 USDT",10.02 %,03/27/2025 17:27 UTC,03/27/2025 17:30 UTC,8.19 % 0.01 USDT,
BROCCOLI714USDT,Short,0.076 USDT,"406,595","30,956.52 USDT","2,586 USDT",8.36 %,03/27/2025 17:27 UTC,03/27/2025 17:30 UTC,5.72 % 0.07 USDT,
BANANAS31USDT,Long,0.007 USDT,"1,519,525","9,994.65 USDT",-204.21 USDT,-2.04 %,03/26/2025 16:47 UTC,03/27/2025 14:57 UTC,4.52 % 0.01 USDT,-6.13 % 0.01 USDT
MUBARAKUSDT,Long,0.15 USDT,"327,225","49,222.78 USDT",-659.21 USDT,-1.34 %,03/27/2025 14:25 UTC,03/27/2025 14:27 UTC,,-1.61 % 0.15 USDT
SUIUSDT,Long,2.804 USDT,"30,000","84,131.37 USDT","-2,578.09 USDT",-3.06 %,03/27/2025 08:31 UTC,03/27/2025 11:40 UTC,0.51 % 2.82 USDT,-3.32 % 2.71 USDT
TONUSDT,Long,3.585 USDT,400,"1,433.84 USDT",-2.06 USDT,-0.14 %,03/26/2025 14:56 UTC,03/26/2025 14:56 UTC,,
TONUSDT,Short,3.57 USDT,"110,342","-393,930.91 USDT","-2,604.89 USDT",-0.66 %,03/26/2025 14:49 UTC,03/26/2025 14:56 UTC,,-0.63 % 3.59 USDT
NILUSDT,Short,0.776 USDT,"294,000","-228,226.24 USDT","18,866 USDT",8.27 %,03/25/2025 06:49 UTC,03/25/2025 20:56 UTC,11.21 % 0.70 USDT,-7.44 % 0.84 USDT
REDUSDT,Short,0.674 USDT,"73,000","49,208.53 USDT","1,801 USDT",3.66 %,03/25/2025 10:16 UTC,03/25/2025 16:28 UTC,3.83 % 0.65 USDT,-2.31 % 0.69 USDT
PARTIUSDT,Short,0.428 USDT,"100,000","42,760.52 USDT","2,645 USDT",6.19 %,03/25/2025 13:58 UTC,03/25/2025 14:05 UTC,4.93 % 0.41 USDT,
SPELLUSDT,Short,0.001 USDT,"443,309,377","291,345.85 USDT",436.65 USDT,0.15 %,03/25/2025 11:53 UTC,03/25/2025 12:11 UTC,0.89 % 0.00 USDT,-0.26 % 0.00 USDT
GMXUSDT,Short,14.114 USDT,"13,277.5","187,399.52 USDT","3,131 USDT",1.67 %,03/25/2025 11:52 UTC,03/25/2025 12:06 UTC,3.11 % 13.69 USDT,
API3USDT,Short,1.427 USDT,"57,000","81,314.07 USDT","10,204 USDT",12.55 %,03/24/2025 02:01 UTC,03/24/2025 15:30 UTC,18.18 % 1.21 USDT,
AUCTIONUSDT,Short,34.777 USDT,"12,000","-438,809.56 USDT","146,616 USDT",33.41 %,03/17/2025 06:41 UTC,03/24/2025 15:16 UTC,80.02 % 19.32 USDT,-45.43 % 63.74 USDT
NILUSDT,Long,0.759 USDT,"300,000","227,568.46 USDT","-21,004.41 USDT",-9.23 %,03/24/2025 13:05 UTC,03/24/2025 14:58 UTC,15.96 % 0.88 USDT,-12.53 % 0.66 USDT
MUBARAKUSDT,Long,0.16 USDT,"308,261","49,274.01 USDT","-1,553.49 USDT",-3.15 %,03/23/2025 16:39 UTC,03/23/2025 16:48 UTC,3.29 % 0.17 USDT,-3.97 % 0.15 USDT
CKBUSDT,Short,0.006 USDT,"16,000,000","-90,092.57 USDT","3,576 USDT",3.97 %,03/23/2025 00:09 UTC,03/23/2025 00:55 UTC,4.66 % 0.01 USDT,
VANAUSDT,Short,7.896 USDT,"18,000","-142,132.35 USDT",315.00 USDT,0.22 %,03/21/2025 20:51 UTC,03/21/2025 21:08 UTC,,-1.40 % 8.01 USDT
API3USDT,Short,0.848 USDT,"80,000","-67,857.19 USDT","-1,207.69 USDT",-1.78 %,03/18/2025 16:35 UTC,03/21/2025 16:04 UTC,5.00 % 0.81 USDT,-10.67 % 0.95 USDT
ENAUSDT,Short,0.359 USDT,"849,660","304,961.75 USDT",-674.29 USDT,-0.22 %,03/21/2025 15:53 UTC,03/21/2025 15:55 UTC,,-0.16 % 0.36 USDT
ORCAUSDT,Short,3.042 USDT,"10,000","30,417.44 USDT",-460.95 USDT,-1.52 %,03/21/2025 14:39 UTC,03/21/2025 15:03 UTC,1.53 % 3.00 USDT,-0.63 % 3.06 USDT
XMRUSDT,Long,213.375 USDT,231,"49,289.59 USDT",-804.32 USDT,-1.63 %,03/21/2025 14:21 UTC,03/21/2025 14:39 UTC,0.08 % 213.55 USDT,-1.72 % 209.71 USDT
ORCAUSDT,Long,3.217 USDT,"73,000","234,826.32 USDT","-2,883.58 USDT",-1.23 %,03/21/2025 08:56 UTC,03/21/2025 09:06 UTC,2.06 % 3.28 USDT,-2.79 % 3.13 USDT
ORCAUSDT,Short,2.395 USDT,"50,000","-119,733.68 USDT","-18,784.17 USDT",-15.69 %,03/21/2025 05:03 UTC,03/21/2025 08:22 UTC,0.03 % 2.39 USDT,-18.41 % 2.94 USDT
LINAUSDT,Short,0.001 USDT,"100,000,000","140,938.69 USDT","-16,651.89 USDT",-11.81 %,03/21/2025 05:50 UTC,03/21/2025 05:59 UTC,,-10.80 % 0.00 USDT
COMBOUSDT,Short,0.123 USDT,"917,862.6","-113,345.56 USDT","-28,592.18 USDT",-25.23 %,03/21/2025 05:50 UTC,03/21/2025 05:59 UTC,,-22.87 % 0.16 USDT
AERGOUSDT,Short,0.059 USDT,"946,924","55,851.26 USDT","-7,439.50 USDT",-13.32 %,03/21/2025 05:50 UTC,03/21/2025 05:59 UTC,,-11.04 % 0.07 USDT
PENGUUSDT,Long,0.006 USDT,"1,111",7.09 USDT,0.51 USDT,7.16 %,03/13/2025 12:25 UTC,03/20/2025 14:20 UTC,13.15 % 0.01 USDT,-10.66 % 0.01 USDT
PNUTUSDT,Long,0.174 USDT,111,19.31 USDT,0.17 USDT,0.86 %,03/13/2025 12:26 UTC,03/20/2025 14:20 UTC,24.38 % 0.22 USDT,-5.52 % 0.16 USDT
POPCATUSDT,Long,0.183 USDT,111,20.32 USDT,0.94 USDT,4.64 %,03/13/2025 12:26 UTC,03/20/2025 14:20 UTC,18.13 % 0.22 USDT,-10.49 % 0.16 USDT
VVVUSDT,Long,3.374 USDT,"14,603","49,277.35 USDT",459.96 USDT,0.93 %,03/20/2025 08:21 UTC,03/20/2025 10:28 UTC,3.90 % 3.51 USDT,-0.58 % 3.36 USDT
XRPUSDT,Short,2.463 USDT,"3,977.7","9,797.02 USDT",82.79 USDT,0.85 %,03/19/2025 18:07 UTC,03/20/2025 05:52 UTC,1.17 % 2.43 USDT,-3.50 % 2.55 USDT
MUBARAKUSDT,Short,0.185 USDT,"100,000","18,453.60 USDT","1,372 USDT",7.44 %,03/19/2025 08:09 UTC,03/19/2025 08:10 UTC,3.04 % 0.18 USDT,
EOSUSDT,Short,0.506 USDT,"1,000,000","505,635.77 USDT","-56,158.53 USDT",-11.11 %,03/18/2025 19:48 UTC,03/18/2025 23:36 UTC,,-10.51 % 0.56 USDT
BMTUSDT,Short,0.264 USDT,"461,548","121,796.74 USDT",-205.31 USDT,-0.17 %,03/18/2025 15:00 UTC,03/18/2025 15:09 UTC,,-1.20 % 0.27 USDT
BMTUSDT,Long,0.279 USDT,"35,855","9,999.96 USDT",-339.35 USDT,-3.39 %,03/18/2025 09:59 UTC,03/18/2025 13:35 UTC,6.70 % 0.30 USDT,-8.89 % 0.25 USDT
API3USDT,Short,0.894 USDT,"88,500","-79,126.88 USDT","-2,938.72 USDT",-3.71 %,03/18/2025 08:28 UTC,03/18/2025 13:35 UTC,,-7.62 % 0.97 USDT
LINKUSDT,Long,14.45 USDT,"5,000","72,251.40 USDT","-3,503.72 USDT",-4.85 %,03/14/2025 15:04 UTC,03/18/2025 13:34 UTC,1.60 % 14.68 USDT,-8.65 % 13.20 USDT
SOLUSDT,Long,130.484 USDT,"1,000","130,483.74 USDT","-5,690.35 USDT",-4.36 %,03/14/2025 14:59 UTC,03/18/2025 10:06 UTC,4.75 % 136.68 USDT,-5.62 % 123.15 USDT
BMTUSDT,Short,0.194 USDT,"100,000","19,446.94 USDT",575.43 USDT,2.96 %,03/18/2025 07:07 UTC,03/18/2025 08:50 UTC,9.31 % 0.18 USDT,
AERGOUSDT,Short,0.081 USDT,"1,000,000","81,392.18 USDT","-2,757.77 USDT",-3.39 %,03/18/2025 05:08 UTC,03/18/2025 05:19 UTC,,-3.10 % 0.08 USDT
BMTUSDT,Short,0.178 USDT,"191,698","34,134.41 USDT",164.17 USDT,0.48 %,03/18/2025 02:15 UTC,03/18/2025 02:19 UTC,1.52 % 0.18 USDT,
IPUSDT,Long,5.702 USDT,"10,000","57,015.86 USDT",-519.13 USDT,-0.91 %,03/18/2025 00:25 UTC,03/18/2025 00:28 UTC,0.24 % 5.72 USDT,-1.07 % 5.64 USDT
IPUSDT,Long,5.655 USDT,"52,363","296,110.39 USDT","1,181 USDT",0.40 %,03/18/2025 00:22 UTC,03/18/2025 00:24 UTC,1.33 % 5.73 USDT,-0.15 % 5.65 USDT
1000XUSDT,Long,0.044 USDT,"1,146,814","50,802.19 USDT","3,009 USDT",5.92 %,03/17/2025 07:00 UTC,03/17/2025 07:01 UTC,11.61 % 0.05 USDT,-3.07 % 0.04 USDT
AVAXUSDT,Long,19.343 USDT,"10,000","193,427.85 USDT","-1,293.56 USDT",-0.67 %,03/15/2025 22:05 UTC,03/16/2025 00:26 UTC,0.65 % 19.47 USDT,-0.97 % 19.16 USDT
AVAXUSDT,Long,19.061 USDT,"10,000","190,610.00 USDT",-474.26 USDT,-0.25 %,03/15/2025 20:44 UTC,03/15/2025 21:21 UTC,1.20 % 19.29 USDT,-0.39 % 18.99 USDT
LEVERUSDT,Short,0.001 USDT,"100,000,000","87,668.44 USDT",-418.45 USDT,-0.48 %,03/14/2025 01:00 UTC,03/14/2025 01:06 UTC,,-0.82 % 0.00 USDT
BNBUSDT,Short,590.629 USDT,862,"509,121.97 USDT","9,155 USDT",1.80 %,03/13/2025 14:39 UTC,03/13/2025 14:52 UTC,1.86 % 579.85 USDT,
POPCATUSDT,Long,0.181 USDT,"272,035","49,326.46 USDT",-172.09 USDT,-0.35 %,03/13/2025 12:13 UTC,03/13/2025 12:17 UTC,0.21 % 0.18 USDT,-3.43 % 0.18 USDT
AKTUSDT,Short,1.343 USDT,"23,000","30,882.29 USDT",-418.64 USDT,-1.36 %,03/13/2025 01:25 UTC,03/13/2025 06:30 UTC,0.50 % 1.34 USDT,-2.06 % 1.37 USDT
IDUSDT,Short,0.231 USDT,"800,000","-184,633.30 USDT","3,062 USDT",1.66 %,03/12/2025 00:50 UTC,03/12/2025 01:03 UTC,1.54 % 0.23 USDT,-0.82 % 0.23 USDT
ETHUSDT,Long,"1,932.44 USDT",500,"966,220.20 USDT","-11,421.68 USDT",-1.18 %,03/11/2025 13:28 UTC,03/11/2025 13:36 UTC,"0.23 % 1,936 USDT","-2.14 % 1,891 USDT"
