Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
ETHUSDT,Long,"1,908.84 USDT",2.426,"4,630.85 USDT",-8.04 USDT,-0.17 %,03/29/2025 01:47 UTC,04/02/2025 17:19 UTC,"0.99 % 1,927 USDT","-7.48 % 1,766 USDT"
SOLUSDT,Long,129.25 USDT,34,"4,394.50 USDT",-25.41 USDT,-0.58 %,03/29/2025 01:50 UTC,04/01/2025 16:14 UTC,0.88 % 130.39 USDT,-5.21 % 122.52 USDT
SOLUSDT,Long,129.49 USDT,89,"11,524.61 USDT",-20.26 USDT,-0.18 %,03/29/2025 01:48 UTC,03/29/2025 01:50 UTC,,-0.25 % 129.17 USDT
ORCAUSDT,Short,2.395 USDT,"2,083.8","4,991.21 USDT",-194.25 USDT,-3.89 %,03/26/2025 22:32 UTC,03/27/2025 01:21 UTC,0.01 % 2.40 USDT,-3.61 % 2.48 USDT
SOLUSDT,Short,144.05 USDT,39,"-5,617.95 USDT",279.85 USDT,4.98 %,03/26/2025 01:40 UTC,03/26/2025 19:04 UTC,5.00 % 137.19 USDT,-0.79 % 145.19 USDT
AUCTIONUSDT,Long,19.306 USDT,256,"4,942.27 USDT",-106.81 USDT,-2.16 %,03/26/2025 01:38 UTC,03/26/2025 14:52 UTC,2.80 % 19.85 USDT,-2.83 % 18.76 USDT
BTCUSDT,Short,"86,890.8 USDT",0.002,173.78 USDT,-0.17 USDT,-0.10 %,03/24/2025 06:07 UTC,03/24/2025 06:07 UTC,,
BTCUSDT,Long,"86,942.2 USDT",0.002,173.88 USDT,-0.09 USDT,-0.05 %,03/24/2025 06:03 UTC,03/24/2025 06:06 UTC,"0.02 % 86,959 USDT","-0.09 % 86,860 USDT"
IOSTUSDT,Long,0.005 USDT,"958,046","4,915.80 USDT",-28.87 USDT,-0.59 %,03/10/2025 22:33 UTC,03/10/2025 22:36 UTC,0.35 % 0.01 USDT,-0.61 % 0.01 USDT
ADAUSDT,Long,0.999 USDT,"11,377","11,370.21 USDT",-530.04 USDT,-4.66 %,03/03/2025 13:55 UTC,03/03/2025 14:56 UTC,0.96 % 1.01 USDT,-5.14 % 0.95 USDT
ADAUSDT,Long,1.078 USDT,"9,003","9,706.13 USDT",-409.94 USDT,-4.22 %,03/03/2025 01:52 UTC,03/03/2025 06:30 UTC,0.99 % 1.09 USDT,-4.63 % 1.03 USDT
TRUMPUSDT,Long,15.605 USDT,44.15,688.96 USDT,-7.48 USDT,-1.09 %,02/11/2025 22:23 UTC,02/11/2025 22:35 UTC,0.03 % 15.61 USDT,-1.47 % 15.38 USDT
TRUMPUSDT,Long,36.5 USDT,60.5,"2,208.25 USDT",-200.37 USDT,-9.07 %,01/23/2025 15:08 UTC,01/24/2025 00:54 UTC,8.59 % 39.63 USDT,-9.30 % 33.11 USDT
TRUMPUSDT,Long,61.518 USDT,8.89,546.89 USDT,-268.93 USDT,-49.18 %,01/20/2025 07:35 UTC,01/21/2025 00:59 UTC,,-49.48 % 31.08 USDT
1000SHIBUSDT,Long,0.022 USDT,"155,078","3,382.62 USDT",-29.84 USDT,-0.88 %,01/07/2025 22:19 UTC,01/08/2025 01:52 UTC,0.67 % 0.02 USDT,-0.87 % 0.02 USDT
1000SHIBUSDT,Long,0.024 USDT,"272,688","6,423.83 USDT",-309.83 USDT,-4.82 %,01/02/2025 15:40 UTC,01/07/2025 15:15 UTC,5.83 % 0.02 USDT,-5.19 % 0.02 USDT
STEEMUSDT,Short,0.302 USDT,"168,830","-51,011.98 USDT","1,661 USDT",3.26 %,01/06/2025 01:07 UTC,01/06/2025 08:20 UTC,3.76 % 0.29 USDT,
USUALUSDT,Short,1.278 USDT,"1,953","2,496.20 USDT",-24.28 USDT,-0.97 %,12/26/2024 13:26 UTC,12/26/2024 15:40 UTC,1.53 % 1.26 USDT,-0.63 % 1.29 USDT
MOVEUSDT,Short,0.665 USDT,"4,893","-3,254.98 USDT",134.98 USDT,4.15 %,12/18/2024 07:47 UTC,12/18/2024 13:03 UTC,2.26 % 0.65 USDT,-2.70 % 0.68 USDT
XRPUSDT,Short,2.55 USDT,"23,524.6","-59,978.11 USDT",-612.50 USDT,-1.02 %,12/18/2024 00:34 UTC,12/18/2024 01:32 UTC,0.22 % 2.54 USDT,-1.33 % 2.58 USDT
XRPUSDT,Short,2.555 USDT,"37,449.2","-98,145.05 USDT",714.81 USDT,0.73 %,12/17/2024 15:40 UTC,12/17/2024 23:02 UTC,0.36 % 2.55 USDT,-3.70 % 2.65 USDT
XRPUSDT,Short,2.589 USDT,"6,365.1","-16,482.19 USDT",-17.13 USDT,-0.10 %,12/17/2024 15:39 UTC,12/17/2024 15:39 UTC,,
XRPUSDT,Short,2.65 USDT,"15,387.1","-41,355.65 USDT","1,405 USDT",3.40 %,12/17/2024 10:38 UTC,12/17/2024 15:31 UTC,3.43 % 2.56 USDT,-2.38 % 2.72 USDT
XRPUSDT,Short,2.574 USDT,"32,207.7","-82,891.96 USDT","-3,416.21 USDT",-4.12 %,12/17/2024 07:18 UTC,12/17/2024 10:37 UTC,2.15 % 2.52 USDT,-3.92 % 2.68 USDT
XRPUSDT,Short,2.517 USDT,247.1,622.05 USDT,-0.32 USDT,-0.05 %,12/17/2024 07:17 UTC,12/17/2024 07:18 UTC,,
XRPUSDT,Short,2.517 USDT,246.9,621.37 USDT,0.17 USDT,0.03 %,12/17/2024 06:52 UTC,12/17/2024 06:52 UTC,,
XRPUSDT,Short,2.474 USDT,"77,692.6","-191,625.32 USDT","-1,477.98 USDT",-0.77 %,12/16/2024 12:28 UTC,12/17/2024 02:01 UTC,4.47 % 2.37 USDT,-3.60 % 2.57 USDT
XRPUSDT,Short,2.432 USDT,"70,313.3","-170,988.21 USDT","2,459 USDT",1.44 %,12/14/2024 21:10 UTC,12/16/2024 10:26 UTC,2.18 % 2.38 USDT,-0.53 % 2.44 USDT
XRPUSDT,Short,2.398 USDT,"85,864.5","-207,159.81 USDT","-4,468.94 USDT",-2.16 %,12/13/2024 07:31 UTC,12/14/2024 18:07 UTC,4.10 % 2.30 USDT,-4.89 % 2.52 USDT
XRPUSDT,Short,2.35 USDT,"22,311","-52,489.44 USDT","1,199 USDT",2.29 %,12/12/2024 22:01 UTC,12/13/2024 07:04 UTC,2.02 % 2.30 USDT,-0.54 % 2.36 USDT
XRPUSDT,Short,2.422 USDT,"77,551","-185,991.87 USDT",478.19 USDT,0.26 %,12/12/2024 00:41 UTC,12/12/2024 19:35 UTC,1.49 % 2.39 USDT,-2.13 % 2.47 USDT
MEUSDT,Short,5.189 USDT,"33,979.9","-174,074.57 USDT","10,182 USDT",5.85 %,12/11/2024 07:54 UTC,12/12/2024 11:05 UTC,4.30 % 4.98 USDT,-4.75 % 5.45 USDT
MOVEUSDT,Short,0.742 USDT,"469,825","-349,357.86 USDT","29,083 USDT",8.32 %,12/11/2024 00:18 UTC,12/12/2024 01:13 UTC,12.83 % 0.66 USDT,-12.03 % 0.84 USDT
MEUSDT,Short,5.286 USDT,993.1,"5,249.63 USDT",52.57 USDT,1.00 %,12/11/2024 07:51 UTC,12/11/2024 07:52 UTC,0.13 % 5.28 USDT,
MEUSDT,Short,5.369 USDT,"3,290","-17,662.59 USDT",159.17 USDT,0.90 %,12/11/2024 07:42 UTC,12/11/2024 07:50 UTC,,-0.27 % 5.38 USDT
MEUSDT,Short,5.699 USDT,"14,326.8","-81,705.12 USDT","5,903 USDT",7.23 %,12/11/2024 05:30 UTC,12/11/2024 07:41 UTC,5.16 % 5.42 USDT,
MEUSDT,Short,5.894 USDT,"1,068.9","6,300.56 USDT",-33.57 USDT,-0.53 %,12/11/2024 05:28 UTC,12/11/2024 05:30 UTC,,-0.75 % 5.94 USDT
MEUSDT,Short,5.996 USDT,"1,191.2","-7,142.52 USDT",68.61 USDT,0.96 %,12/11/2024 05:25 UTC,12/11/2024 05:27 UTC,0.69 % 5.96 USDT,
MOVEUSDT,Short,0.842 USDT,983,827.69 USDT,-1.87 USDT,-0.23 %,12/11/2024 00:17 UTC,12/11/2024 00:17 UTC,,
MOVEUSDT,Short,0.794 USDT,"434,315","-277,883.41 USDT","-46,905.03 USDT",-16.88 %,12/10/2024 18:13 UTC,12/11/2024 00:16 UTC,30.46 % 0.61 USDT,-3.71 % 0.82 USDT
MOVEUSDT,Short,0.711 USDT,"438,994","-337,830.13 USDT","49,500 USDT",14.65 %,12/10/2024 09:50 UTC,12/10/2024 18:10 UTC,11.81 % 0.64 USDT,-23.50 % 0.93 USDT
XRPUSDT,Short,2.105 USDT,"151,797","-360,502.16 USDT","-24,541.56 USDT",-6.81 %,12/06/2024 00:14 UTC,12/10/2024 12:14 UTC,,-19.52 % 2.62 USDT
MOVEUSDT,Short,0.922 USDT,448,412.92 USDT,0.56 USDT,0.14 %,12/10/2024 09:45 UTC,12/10/2024 09:46 UTC,,
MOVEUSDT,Short,0.954 USDT,"51,527","-49,886.38 USDT",457.65 USDT,0.92 %,12/10/2024 09:24 UTC,12/10/2024 09:29 UTC,,
MOVEUSDT,Short,0.989 USDT,"84,426","-83,627.68 USDT","1,594 USDT",1.91 %,12/10/2024 09:00 UTC,12/10/2024 09:24 UTC,0.51 % 0.98 USDT,
MOVEUSDT,Short,1.022 USDT,"34,238","-34,985.18 USDT",424.64 USDT,1.21 %,12/10/2024 08:46 UTC,12/10/2024 08:47 UTC,0.28 % 1.02 USDT,
MOVEUSDT,Short,0.993 USDT,"9,364","-9,294.65 USDT",19.38 USDT,0.21 %,12/10/2024 08:22 UTC,12/10/2024 08:22 UTC,,
MOVEUSDT,Short,0.989 USDT,"1,044","1,032.93 USDT",3.14 USDT,0.30 %,12/10/2024 08:21 UTC,12/10/2024 08:21 UTC,,
MOVEUSDT,Short,0.985 USDT,"1,888","1,859.44 USDT",7.52 USDT,0.40 %,12/10/2024 08:20 UTC,12/10/2024 08:20 UTC,,
MOVEUSDT,Short,1.017 USDT,"12,017","-12,217.37 USDT",71.50 USDT,0.59 %,12/10/2024 07:45 UTC,12/10/2024 07:47 UTC,,
MOVEUSDT,Short,1.016 USDT,"3,877","3,940.01 USDT",38.55 USDT,0.98 %,12/10/2024 07:43 UTC,12/10/2024 07:44 UTC,0.03 % 1.02 USDT,
MOVEUSDT,Short,1.006 USDT,"121,210","-120,918.99 USDT",515.30 USDT,0.43 %,12/10/2024 07:17 UTC,12/10/2024 07:38 UTC,0.12 % 1.01 USDT,-0.86 % 1.02 USDT
MOVEUSDT,Short,1.032 USDT,"23,649","-24,401.99 USDT",-71.91 USDT,-0.29 %,12/10/2024 07:07 UTC,12/10/2024 07:09 UTC,,
MOVEUSDT,Short,1.026 USDT,"8,261","-8,474.19 USDT",17.94 USDT,0.21 %,12/10/2024 07:07 UTC,12/10/2024 07:07 UTC,,
MOVEUSDT,Short,1.016 USDT,"51,339","-52,112.24 USDT",-232.04 USDT,-0.45 %,12/10/2024 07:05 UTC,12/10/2024 07:06 UTC,,
MOVEUSDT,Short,1.028 USDT,"15,923","-16,370.95 USDT",183.36 USDT,1.12 %,12/10/2024 07:04 UTC,12/10/2024 07:04 UTC,,
MOVEUSDT,Short,1.01 USDT,"130,652","-131,635.75 USDT",-775.55 USDT,-0.59 %,12/10/2024 07:01 UTC,12/10/2024 07:04 UTC,,
MOVEUSDT,Short,0.985 USDT,"77,152","-75,920.49 USDT",117.57 USDT,0.15 %,12/10/2024 06:54 UTC,12/10/2024 07:00 UTC,0.82 % 0.98 USDT,
MOVEUSDT,Short,0.973 USDT,"28,206","-27,440.09 USDT",-43.13 USDT,-0.16 %,12/10/2024 06:50 UTC,12/10/2024 06:52 UTC,,
MOVEUSDT,Short,0.97 USDT,"9,448","-9,162.02 USDT",12.92 USDT,0.14 %,12/10/2024 06:49 UTC,12/10/2024 06:50 UTC,,
MOVEUSDT,Short,0.984 USDT,"2,540","2,500.10 USDT",4.58 USDT,0.18 %,12/10/2024 06:48 UTC,12/10/2024 06:48 UTC,,
MOVEUSDT,Short,0.961 USDT,"145,685","-139,016.69 USDT","-1,376.00 USDT",-0.99 %,12/10/2024 06:34 UTC,12/10/2024 06:47 UTC,0.67 % 0.95 USDT,-0.65 % 0.97 USDT
1000PEPEUSDT,Short,0.028 USDT,"1,604,414","-42,228.74 USDT",-485.92 USDT,-1.15 %,12/09/2024 13:57 UTC,12/09/2024 19:10 UTC,7.47 % 0.03 USDT,
1000PEPEUSDT,Short,0.026 USDT,"5,447,411","-141,761.39 USDT","2,743 USDT",1.94 %,12/09/2024 02:24 UTC,12/09/2024 13:51 UTC,5.13 % 0.02 USDT,-5.16 % 0.03 USDT
SANDUSDT,Short,0.917 USDT,"132,753","-121,682.76 USDT","1,397 USDT",1.15 %,12/06/2024 00:13 UTC,12/07/2024 00:37 UTC,5.40 % 0.87 USDT,-1.09 % 0.93 USDT
DOGEUSDT,Short,0.431 USDT,"164,581","-70,922.27 USDT",-760.45 USDT,-1.07 %,12/06/2024 00:04 UTC,12/06/2024 09:05 UTC,,-2.14 % 0.44 USDT
SANDUSDT,Short,0.942 USDT,"81,281","-76,522.23 USDT","2,263 USDT",2.96 %,12/05/2024 07:11 UTC,12/05/2024 23:42 UTC,3.29 % 0.91 USDT,-1.57 % 0.96 USDT
DOGEUSDT,Short,0.433 USDT,"16,242","7,029.39 USDT",83.53 USDT,1.19 %,12/05/2024 23:21 UTC,12/05/2024 23:41 UTC,1.37 % 0.43 USDT,
DOGEUSDT,Short,0.431 USDT,"49,005","-21,098.98 USDT",422.58 USDT,2.00 %,12/05/2024 22:50 UTC,12/05/2024 23:07 UTC,1.35 % 0.42 USDT,
DOGEUSDT,Short,0.434 USDT,"80,907","-35,139.40 USDT",990.47 USDT,2.82 %,12/05/2024 21:07 UTC,12/05/2024 22:28 UTC,2.65 % 0.42 USDT,-0.45 % 0.44 USDT
XRPUSDT,Short,2.349 USDT,"93,849.8","-224,054.83 USDT","1,938 USDT",0.87 %,12/05/2024 05:53 UTC,12/05/2024 22:27 UTC,1.27 % 2.32 USDT,-5.54 % 2.49 USDT
SANDUSDT,Short,0.946 USDT,"4,962","-4,693.59 USDT",-61.61 USDT,-1.31 %,12/05/2024 07:02 UTC,12/05/2024 07:05 UTC,,-1.09 % 0.96 USDT
TRXUSDT,Short,0.33 USDT,"1,106,390","-364,844.45 USDT","36,033 USDT",9.88 %,12/04/2024 04:48 UTC,12/05/2024 07:05 UTC,4.73 % 0.31 USDT,-19.91 % 0.41 USDT
SANDUSDT,Short,0.937 USDT,"15,061","-14,106.96 USDT",-281.82 USDT,-2.00 %,12/05/2024 06:51 UTC,12/05/2024 06:57 UTC,,-1.79 % 0.95 USDT
TRXUSDT,Short,0.417 USDT,"227,959","-95,941.99 USDT","3,317 USDT",3.46 %,12/04/2024 04:44 UTC,12/04/2024 04:48 UTC,1.27 % 0.41 USDT,
TRXUSDT,Short,0.425 USDT,"3,005","1,276.08 USDT",6.73 USDT,0.53 %,12/04/2024 04:43 UTC,12/04/2024 04:44 UTC,0.21 % 0.42 USDT,
TRXUSDT,Short,0.425 USDT,"12,520","5,316.63 USDT",28.75 USDT,0.54 %,12/04/2024 04:42 UTC,12/04/2024 04:42 UTC,,
TRXUSDT,Short,0.429 USDT,"122,449","-52,598.34 USDT",760.75 USDT,1.45 %,12/04/2024 04:40 UTC,12/04/2024 04:42 UTC,0.88 % 0.43 USDT,
TRXUSDT,Short,0.427 USDT,"125,775","-53,669.37 USDT",77.67 USDT,0.14 %,12/04/2024 04:37 UTC,12/04/2024 04:39 UTC,,
TRXUSDT,Short,0.427 USDT,"28,866","-12,328.40 USDT",21.62 USDT,0.18 %,12/04/2024 04:35 UTC,12/04/2024 04:36 UTC,,
TRXUSDT,Short,0.423 USDT,"6,036","-2,555.06 USDT",-4.43 USDT,-0.17 %,12/04/2024 04:35 UTC,12/04/2024 04:35 UTC,,
TRXUSDT,Short,0.413 USDT,"31,442","-12,975.14 USDT",25.73 USDT,0.20 %,12/04/2024 04:29 UTC,12/04/2024 04:30 UTC,,
TRXUSDT,Short,0.409 USDT,"38,512","-15,740.52 USDT",18.45 USDT,0.12 %,12/04/2024 04:27 UTC,12/04/2024 04:28 UTC,,
TRXUSDT,Short,0.403 USDT,"145,775","-58,804.51 USDT",-790.81 USDT,-1.34 %,12/04/2024 04:20 UTC,12/04/2024 04:26 UTC,,-1.17 % 0.41 USDT
TRXUSDT,Short,0.402 USDT,"13,250","5,322.05 USDT",-16.64 USDT,-0.31 %,12/04/2024 04:15 UTC,12/04/2024 04:16 UTC,,
TRXUSDT,Short,0.384 USDT,"476,402","-200,855.32 USDT","8,412 USDT",4.19 %,12/04/2024 00:01 UTC,12/04/2024 04:09 UTC,3.03 % 0.37 USDT,-11.96 % 0.44 USDT
XRPUSDT,Short,2.57 USDT,"107,274.9","-273,255.94 USDT",-963.42 USDT,-0.35 %,12/03/2024 16:38 UTC,12/04/2024 00:01 UTC,2.73 % 2.50 USDT,-4.12 % 2.68 USDT
TRXUSDT,Short,0.43 USDT,"103,321","-44,422.25 USDT",-239.58 USDT,-0.54 %,12/04/2024 00:00 UTC,12/04/2024 00:01 UTC,,
TRXUSDT,Short,0.436 USDT,"157,087","-68,514.31 USDT",-226.83 USDT,-0.33 %,12/03/2024 23:59 UTC,12/04/2024 00:00 UTC,,
TRXUSDT,Short,0.433 USDT,"5,932","-2,566.46 USDT",3.26 USDT,0.13 %,12/03/2024 23:59 UTC,12/03/2024 23:59 UTC,,
TRXUSDT,Short,0.431 USDT,"1,487",641.06 USDT,4.60 USDT,0.72 %,12/03/2024 23:58 UTC,12/03/2024 23:58 UTC,,
TRXUSDT,Short,0.427 USDT,"10,515","-4,494.82 USDT",-1.36 USDT,-0.03 %,12/03/2024 23:57 UTC,12/03/2024 23:58 UTC,,
TRXUSDT,Short,0.427 USDT,"10,505","-4,490.66 USDT",-12.74 USDT,-0.28 %,12/03/2024 23:57 UTC,12/03/2024 23:57 UTC,,
TRXUSDT,Short,0.429 USDT,"444,569","-182,637.70 USDT","-1,820.63 USDT",-1.00 %,12/03/2024 23:37 UTC,12/03/2024 23:57 UTC,,
TRXUSDT,Short,0.421 USDT,"12,542","-5,274.03 USDT",-8.86 USDT,-0.17 %,12/03/2024 23:36 UTC,12/03/2024 23:37 UTC,,
