Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown
ENAUSD,Short,0.308 USDT,182,56.07 USDT,-0.01 USDT,-0.02 %,04/14/2025 07:35 UTC,04/14/2025 07:35 UTC,,
ENAUSD,Short,0.35 USDT,"1,086,018","380,113.25 USDT","37,821 USDT",9.95 %,04/12/2025 22:03 UTC,04/14/2025 05:49 UTC,,
BIGTIMEUSD,Short,0.06 USDT,"649,638","39,299.80 USDT","-4,389.10 USDT",-11.17 %,04/09/2025 21:49 UTC,04/13/2025 15:30 UTC,,
FARTCOINUSD,Short,0.911 USDT,"140,000","127,505.10 USDT","8,612 USDT",6.75 %,04/11/2025 17:18 UTC,04/13/2025 15:29 UTC,,
ZEREBROUSD,Long,0.023 USDT,"17,805",402.45 USDT,-3.76 USDT,-0.93 %,04/12/2025 09:57 UTC,04/12/2025 09:59 UTC,,
GOATUSD,Short,0.045 USDT,"5,741,853","256,086.64 USDT","4,450 USDT",1.74 %,04/10/2025 00:00 UTC,04/10/2025 04:08 UTC,,
KASUSD,Long,0.057 USDT,222,12.65 USDT,1.33 USDT,10.47 %,04/06/2025 23:21 UTC,04/07/2025 15:43 UTC,,
OGNUSD,Short,0.05 USDT,"662,518","33,125.90 USDT",483.19 USDT,1.46 %,04/07/2025 15:05 UTC,04/07/2025 15:42 UTC,,
RENDERUSD,Short,2.86 USDT,"25,678.3","73,439.94 USDT","2,091 USDT",2.85 %,04/06/2025 22:04 UTC,04/06/2025 22:05 UTC,,
kPEPEUSD,Long,0.006 USDT,"33,333",206.36 USDT,2.87 USDT,1.39 %,04/06/2025 20:36 UTC,04/06/2025 22:05 UTC,,
COMPUSD,Long,44.811 USDT,441.1,"19,766.13 USDT",69.09 USDT,0.35 %,04/04/2025 19:49 UTC,04/04/2025 19:51 UTC,,
IPUSD,Long,4.1 USDT,11,45.10 USDT,0.00 USDT,0.00 %,04/03/2025 14:53 UTC,04/03/2025 16:56 UTC,,
KASUSD,Long,0.061 USDT,222,13.63 USDT,0.00 USDT,0.00 %,04/03/2025 12:32 UTC,04/03/2025 12:33 UTC,,
HYPEUSD,Long,11.298 USDT,11,124.28 USDT,0.00 USDT,0.00 %,04/03/2025 11:23 UTC,04/03/2025 11:24 UTC,,
VVVUSD,Long,2.524 USDT,111,280.22 USDT,0.00 USDT,0.00 %,04/02/2025 19:07 UTC,04/03/2025 11:24 UTC,,
COMPUSD,Long,63.355 USDT,"1,000","63,354.89 USDT",0.00 USDT,0.00 %,04/01/2025 07:06 UTC,04/01/2025 07:26 UTC,,
NEIROETHUSD,Long,0.027 USDT,"1,000",26.60 USDT,0.00 USDT,0.00 %,03/31/2025 17:31 UTC,03/31/2025 19:16 UTC,,
IPUSD,Long,5.057 USDT,44,222.51 USDT,0.00 USDT,0.00 %,03/31/2025 00:53 UTC,03/31/2025 00:55 UTC,,
HBARUSD,Long,0.174 USDT,"1,111",193.16 USDT,0.00 USDT,0.00 %,03/29/2025 07:48 UTC,03/30/2025 15:21 UTC,,
VINEUSD,Short,0.045 USDT,"5,000",223.69 USDT,0.00 USDT,0.00 %,03/29/2025 01:24 UTC,03/29/2025 01:26 UTC,,
BERAUSD,Short,8.57 USDT,11,94.27 USDT,0.00 USDT,0.00 %,03/29/2025 00:13 UTC,03/29/2025 00:14 UTC,,
KASUSD,Long,0.068 USDT,333,22.66 USDT,0.00 USDT,0.00 %,03/28/2025 20:57 UTC,03/28/2025 20:57 UTC,,
